,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives,epochs_neginf,epochs_pu
0,0.2916,0.4369,0.2812,0.9796,722,44,1846,15,RGCN,Cora,0.1,81,81,1,1
1,0.7164,0.0,0.0,0.0,0,1882,8,737,RGCN,Cora,0.1,81,81,1,11
2,0.7195,0.0,0.0,0.0,0,1890,0,737,RGCN,Cora,0.1,81,81,1,21
3,0.7195,0.0,0.0,0.0,0,1890,0,737,RGCN,Cora,0.1,81,81,1,31
4,0.7195,0.0,0.0,0.0,0,1890,0,737,RGCN,Cora,0.1,81,81,1,41
5,0.7195,0.0,0.0,0.0,0,1890,0,737,RGCN,Cora,0.1,81,81,1,51
6,0.7195,0.0,0.0,0.0,0,1890,0,737,RGCN,Cora,0.1,81,81,1,61
7,0.7195,0.0,0.0,0.0,0,1890,0,737,RGCN,Cora,0.1,81,81,1,71
8,0.7195,0.0,0.0,0.0,0,1890,0,737,RGCN,Cora,0.1,81,81,1,81
9,0.7195,0.0,0.0,0.0,0,1890,0,737,RGCN,Cora,0.1,81,81,1,91
10,0.7195,0.0,0.0,0.0,0,1890,0,737,RGCN,Cora,0.1,81,81,1,101
11,0.7195,0.0,0.0,0.0,0,1890,0,737,RGCN,Cora,0.1,81,81,1,111
12,0.7195,0.0,0.0,0.0,0,1890,0,737,RGCN,Cora,0.1,81,81,1,121
13,0.7195,0.0,0.0,0.0,0,1890,0,737,RGCN,Cora,0.1,81,81,1,131
14,0.7195,0.0,0.0,0.0,0,1890,0,737,RGCN,Cora,0.1,81,81,1,141
15,0.7195,0.0,0.0,0.0,0,1890,0,737,RGCN,Cora,0.1,81,81,1,151
16,0.7195,0.0,0.0,0.0,0,1890,0,737,RGCN,Cora,0.1,81,81,1,161
17,0.7195,0.0,0.0,0.0,0,1890,0,737,RGCN,Cora,0.1,81,81,1,171
18,0.7195,0.0,0.0,0.0,0,1890,0,737,RGCN,Cora,0.1,81,81,1,181
19,0.7195,0.0,0.0,0.0,0,1890,0,737,RGCN,Cora,0.1,81,81,1,191
20,0.6056,0.0058,0.0098,0.0041,3,1588,302,734,RGCN,Cora,0.1,81,81,11,1
21,0.8272,0.6928,0.691,0.6947,512,1661,229,225,RGCN,Cora,0.1,81,81,11,11
22,0.7895,0.6546,0.6065,0.711,524,1550,340,213,RGCN,Cora,0.1,81,81,11,21
23,0.7575,0.4456,0.6214,0.3474,256,1734,156,481,RGCN,Cora,0.1,81,81,11,31
24,0.8154,0.5603,0.8443,0.4193,309,1833,57,428,RGCN,Cora,0.1,81,81,11,41
25,0.788,0.6385,0.6119,0.6676,492,1578,312,245,RGCN,Cora,0.1,81,81,11,51
26,0.7986,0.5051,0.8133,0.3664,270,1828,62,467,RGCN,Cora,0.1,81,81,11,61
27,0.7819,0.467,0.7426,0.3406,251,1803,87,486,RGCN,Cora,0.1,81,81,11,71
