,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,0.8333,0.9091,0.8333,1.0,0,5,0,1,RGCN,CiteSeer,0.01,6,6
1,0.8333,0.9091,0.8333,1.0,0,5,0,1,GCN,CiteSeer,0.01,6,6
2,0.8333,0.9091,0.8333,1.0,0,5,0,1,SkipNodeGCN,CiteSeer,0.01,6,6
3,0.8333,0.9091,0.8333,1.0,0,5,0,1,DropEdgeGCN,CiteSeer,0.01,6,6
4,0.9231,0.96,0.9231,1.0,0,12,0,1,RGCN,CiteSeer,0.02,13,13
5,0.7692,0.8696,0.7692,1.0,0,10,0,3,GCN,CiteSeer,0.02,13,13
6,1.0,1.0,1.0,1.0,,,,,SkipNodeGCN,CiteSeer,0.02,13,13
7,0.7692,0.8696,0.7692,1.0,0,10,0,3,DropEdgeGCN,CiteSeer,0.02,13,13
8,0.9,0.9474,0.9,1.0,0,18,0,2,RGCN,CiteSeer,0.03,20,20
9,0.8,0.8889,0.8,1.0,0,16,0,4,GCN,CiteSeer,0.03,20,20
10,0.8,0.8889,0.8,1.0,0,16,0,4,SkipNodeGCN,CiteSeer,0.03,20,20
11,0.85,0.9189,0.85,1.0,0,17,0,3,DropEdgeGCN,CiteSeer,0.03,20,20
12,0.9615,0.9804,0.9615,1.0,0,25,0,1,RGCN,CiteSeer,0.04,26,26
13,0.8077,0.8936,0.8077,1.0,0,21,0,5,GCN,CiteSeer,0.04,26,26
14,0.9615,0.9804,0.9615,1.0,0,25,0,1,SkipNodeGCN,CiteSeer,0.04,26,26
15,0.9615,0.9804,0.9615,1.0,0,25,0,1,DropEdgeGCN,CiteSeer,0.04,26,26
16,0.9697,0.9846,0.9697,1.0,0,32,0,1,RGCN,CiteSeer,0.05,33,33
17,0.8485,0.918,0.8485,1.0,0,28,0,5,GCN,CiteSeer,0.05,33,33
18,0.9697,0.9846,0.9697,1.0,0,32,0,1,SkipNodeGCN,CiteSeer,0.05,33,33
19,0.9091,0.9524,0.9091,1.0,0,30,0,3,DropEdgeGCN,CiteSeer,0.05,33,33
20,0.95,0.9744,0.95,1.0,0,38,0,2,RGCN,CiteSeer,0.06,40,40
21,0.9,0.9474,0.9,1.0,0,36,0,4,GCN,CiteSeer,0.06,40,40
22,0.975,0.9873,0.975,1.0,0,39,0,1,SkipNodeGCN,CiteSeer,0.06,40,40
23,0.95,0.9744,0.95,1.0,0,38,0,2,DropEdgeGCN,CiteSeer,0.06,40,40
24,0.9565,0.9778,0.9565,1.0,0,44,0,2,RGCN,CiteSeer,0.07,46,46
25,0.913,0.9545,0.913,1.0,0,42,0,4,GCN,CiteSeer,0.07,46,46
26,0.913,0.9545,0.913,1.0,0,42,0,4,SkipNodeGCN,CiteSeer,0.07,46,46
27,0.913,0.9545,0.913,1.0,0,42,0,4,DropEdgeGCN,CiteSeer,0.07,46,46
