,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,0.875,0.9333,0.875,1.0,0,7,0,1,RGCN,Cora,0.01,8,8
1,0.75,0.8571,0.75,1.0,0,6,0,2,GCN,Cora,0.01,8,8
2,1.0,1.0,1.0,1.0,,,,,SkipNodeGCN,Cora,0.01,8,8
3,0.875,0.9333,0.875,1.0,0,7,0,1,DropEdgeGCN,Cora,0.01,8,8
4,0.8125,0.8966,0.8125,1.0,0,13,0,3,RGCN,Cora,0.02,16,16
5,0.8125,0.8966,0.8125,1.0,0,13,0,3,GCN,Cora,0.02,16,16
6,0.4375,0.6087,0.4375,1.0,0,7,0,9,SkipNodeGCN,Cora,0.02,16,16
7,0.875,0.9333,0.875,1.0,0,14,0,2,DropEdgeGCN,Cora,0.02,16,16
8,0.9167,0.9565,0.9167,1.0,0,22,0,2,RGCN,Cora,0.03,24,24
9,0.7917,0.8837,0.7917,1.0,0,19,0,5,GCN,Cora,0.03,24,24
10,0.4167,0.5882,0.4167,1.0,0,10,0,14,SkipNodeGCN,Cora,0.03,24,24
11,0.9167,0.9565,0.9167,1.0,0,22,0,2,DropEdgeGCN,Cora,0.03,24,24
12,0.875,0.9333,0.875,1.0,0,28,0,4,RGCN,Cora,0.04,32,32
13,0.9062,0.9508,0.9062,1.0,0,29,0,3,GCN,Cora,0.04,32,32
14,0.4688,0.6383,0.4688,1.0,0,15,0,17,SkipNodeGCN,Cora,0.04,32,32
15,0.8438,0.9153,0.8438,1.0,0,27,0,5,DropEdgeGCN,Cora,0.04,32,32
16,0.95,0.9744,0.95,1.0,0,38,0,2,RGCN,Cora,0.05,40,40
17,0.9,0.9474,0.9,1.0,0,36,0,4,GCN,Cora,0.05,40,40
18,0.525,0.6885,0.525,1.0,0,21,0,19,SkipNodeGCN,Cora,0.05,40,40
19,0.95,0.9744,0.95,1.0,0,38,0,2,DropEdgeGCN,Cora,0.05,40,40
20,0.8571,0.9231,0.8571,1.0,0,42,0,7,RGCN,Cora,0.06,49,49
21,0.8571,0.9231,0.8571,1.0,0,42,0,7,GCN,Cora,0.06,49,49
22,0.6327,0.775,0.6327,1.0,0,31,0,18,SkipNodeGCN,Cora,0.06,49,49
23,0.8571,0.9231,0.8571,1.0,0,42,0,7,DropEdgeGCN,Cora,0.06,49,49
24,0.9474,0.973,0.9474,1.0,0,54,0,3,RGCN,Cora,0.07,57,57
25,0.807,0.8932,0.807,1.0,0,46,0,11,GCN,Cora,0.07,57,57
26,0.5965,0.7473,0.5965,1.0,0,34,0,23,SkipNodeGCN,Cora,0.07,57,57
27,0.8947,0.9444,0.8947,1.0,0,51,0,6,DropEdgeGCN,Cora,0.07,57,57
28,0.9385,0.9683,0.9385,1.0,0,61,0,4,RGCN,Cora,0.08,65,65
29,0.8615,0.9256,0.8615,1.0,0,56,0,9,GCN,Cora,0.08,65,65
30,0.7538,0.8596,0.7538,1.0,0,49,0,16,SkipNodeGCN,Cora,0.08,65,65
31,0.8769,0.9344,0.8769,1.0,0,57,0,8,DropEdgeGCN,Cora,0.08,65,65
32,0.9178,0.9571,0.9178,1.0,0,67,0,6,RGCN,Cora,0.09,73,73
33,0.8493,0.9185,0.8493,1.0,0,62,0,11,GCN,Cora,0.09,73,73
34,0.5205,0.6847,0.5205,1.0,0,38,0,35,SkipNodeGCN,Cora,0.09,73,73
35,0.9041,0.9496,0.9041,1.0,0,66,0,7,DropEdgeGCN,Cora,0.09,73,73
36,0.9506,0.9747,0.9506,1.0,0,77,0,4,RGCN,Cora,0.1,81,81
37,0.8765,0.9342,0.8765,1.0,0,71,0,10,GCN,Cora,0.1,81,81
38,0.8148,0.898,0.8148,1.0,0,66,0,15,SkipNodeGCN,Cora,0.1,81,81
39,0.9012,0.9481,0.9012,1.0,0,73,0,8,DropEdgeGCN,Cora,0.1,81,81
40,0.9663,0.9829,0.9663,1.0,0,86,0,3,RGCN,Cora,0.11,89,89
41,0.8764,0.9341,0.8764,1.0,0,78,0,11,GCN,Cora,0.11,89,89
42,0.809,0.8944,0.809,1.0,0,72,0,17,SkipNodeGCN,Cora,0.11,89,89
43,0.8764,0.9341,0.8764,1.0,0,78,0,11,DropEdgeGCN,Cora,0.11,89,89
44,0.9184,0.9574,0.9184,1.0,0,90,0,8,RGCN,Cora,0.12,98,98
45,0.8673,0.929,0.8673,1.0,0,85,0,13,GCN,Cora,0.12,98,98
46,0.6429,0.7826,0.6429,1.0,0,63,0,35,SkipNodeGCN,Cora,0.12,98,98
47,0.9184,0.9574,0.9184,1.0,0,90,0,8,DropEdgeGCN,Cora,0.12,98,98
48,0.9811,0.9905,0.9811,1.0,0,104,0,2,RGCN,Cora,0.13,106,106
