,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,0.6842,0.8125,0.6842,1.0,0,13,0,6,RGCN,Photo,0.01,19,19
1,0.6842,0.8125,0.6842,1.0,0,13,0,6,GCN,Photo,0.01,19,19
2,0.8421,0.9143,0.8421,1.0,0,16,0,3,SkipNodeGCN,Photo,0.01,19,19
3,0.6842,0.8125,0.6842,1.0,0,13,0,6,DropEdgeGCN,Photo,0.01,19,19
4,0.7368,0.8485,0.7368,1.0,0,28,0,10,RGCN,Photo,0.02,38,38
5,0.7632,0.8657,0.7632,1.0,0,29,0,9,GCN,Photo,0.02,38,38
6,0.8421,0.9143,0.8421,1.0,0,32,0,6,SkipNodeGCN,Photo,0.02,38,38
7,0.8421,0.9143,0.8421,1.0,0,32,0,6,DropEdgeGCN,Photo,0.02,38,38
8,0.7759,0.8738,0.7759,1.0,0,45,0,13,RGCN,Photo,0.03,58,58
9,0.8103,0.8952,0.8103,1.0,0,47,0,11,GCN,Photo,0.03,58,58
10,0.8966,0.9455,0.8966,1.0,0,52,0,6,SkipNodeGCN,Photo,0.03,58,58
11,0.8966,0.9455,0.8966,1.0,0,52,0,6,DropEdgeGCN,Photo,0.03,58,58
12,0.7922,0.8841,0.7922,1.0,0,61,0,16,RGCN,Photo,0.04,77,77
13,0.8442,0.9155,0.8442,1.0,0,65,0,12,GCN,Photo,0.04,77,77
14,0.8831,0.9379,0.8831,1.0,0,68,0,9,SkipNodeGCN,Photo,0.04,77,77
15,0.8701,0.9306,0.8701,1.0,0,67,0,10,DropEdgeGCN,Photo,0.04,77,77
16,0.8969,0.9457,0.8969,1.0,0,87,0,10,RGCN,Photo,0.05,97,97
17,0.9072,0.9514,0.9072,1.0,0,88,0,9,GCN,Photo,0.05,97,97
18,0.8969,0.9457,0.8969,1.0,0,87,0,10,SkipNodeGCN,Photo,0.05,97,97
19,0.9485,0.9735,0.9485,1.0,0,92,0,5,DropEdgeGCN,Photo,0.05,97,97
20,0.8621,0.9259,0.8621,1.0,0,100,0,16,RGCN,Photo,0.06,116,116
21,0.8793,0.9358,0.8793,1.0,0,102,0,14,GCN,Photo,0.06,116,116
22,0.8621,0.9259,0.8621,1.0,0,100,0,16,SkipNodeGCN,Photo,0.06,116,116
23,0.8534,0.9209,0.8534,1.0,0,99,0,17,DropEdgeGCN,Photo,0.06,116,116
24,0.8963,0.9453,0.8963,1.0,0,121,0,14,RGCN,Photo,0.07,135,135
25,0.8741,0.9328,0.8741,1.0,0,118,0,17,GCN,Photo,0.07,135,135
26,0.9333,0.9655,0.9333,1.0,0,126,0,9,SkipNodeGCN,Photo,0.07,135,135
27,0.8815,0.937,0.8815,1.0,0,119,0,16,DropEdgeGCN,Photo,0.07,135,135
28,0.9419,0.9701,0.9419,1.0,0,146,0,9,RGCN,Photo,0.08,155,155
29,0.8968,0.9456,0.8968,1.0,0,139,0,16,GCN,Photo,0.08,155,155
30,0.9032,0.9492,0.9032,1.0,0,140,0,15,SkipNodeGCN,Photo,0.08,155,155
31,0.8774,0.9347,0.8774,1.0,0,136,0,19,DropEdgeGCN,Photo,0.08,155,155
32,0.931,0.9643,0.931,1.0,0,162,0,12,RGCN,Photo,0.09,174,174
33,0.8506,0.9193,0.8506,1.0,0,148,0,26,GCN,Photo,0.09,174,174
34,0.9425,0.9704,0.9425,1.0,0,164,0,10,SkipNodeGCN,Photo,0.09,174,174
35,0.9253,0.9612,0.9253,1.0,0,161,0,13,DropEdgeGCN,Photo,0.09,174,174
36,0.9485,0.9735,0.9485,1.0,0,184,0,10,RGCN,Photo,0.1,194,194
