,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,0.9351,0.9664,0.9351,1.0,0,72,0,5,RGCN,PubMed,0.01,77,77
1,0.961,0.9801,0.961,1.0,0,74,0,3,GCN,PubMed,0.01,77,77
2,0.8182,0.9,0.8182,1.0,0,63,0,14,SkipNodeGCN,PubMed,0.01,77,77
3,0.9481,0.9733,0.9481,1.0,0,73,0,4,DropEdgeGCN,PubMed,0.01,77,77
4,0.9545,0.9767,0.9545,1.0,0,147,0,7,RGCN,PubMed,0.02,154,154
5,0.9805,0.9902,0.9805,1.0,0,151,0,3,GCN,PubMed,0.02,154,154
6,0.8377,0.9117,0.8377,1.0,0,129,0,25,SkipNodeGCN,PubMed,0.02,154,154
7,0.9805,0.9902,0.9805,1.0,0,151,0,3,DropEdgeGCN,PubMed,0.02,154,154
8,0.9698,0.9847,0.9698,1.0,0,225,0,7,RGCN,PubMed,0.03,232,232
9,0.9828,0.9913,0.9828,1.0,0,228,0,4,GCN,PubMed,0.03,232,232
10,0.8966,0.9455,0.8966,1.0,0,208,0,24,SkipNodeGCN,PubMed,0.03,232,232
11,0.9526,0.9757,0.9526,1.0,0,221,0,11,DropEdgeGCN,PubMed,0.03,232,232
12,0.9676,0.9836,0.9676,1.0,0,299,0,10,RGCN,PubMed,0.04,309,309
13,0.9482,0.9734,0.9482,1.0,0,293,0,16,GCN,PubMed,0.04,309,309
14,0.8317,0.9081,0.8317,1.0,0,257,0,52,SkipNodeGCN,PubMed,0.04,309,309
15,0.9612,0.9802,0.9612,1.0,0,297,0,12,DropEdgeGCN,PubMed,0.04,309,309
16,0.9819,0.9908,0.9819,1.0,0,379,0,7,RGCN,PubMed,0.05,386,386
17,0.9585,0.9788,0.9585,1.0,0,370,0,16,GCN,PubMed,0.05,386,386
18,0.8808,0.9366,0.8808,1.0,0,340,0,46,SkipNodeGCN,PubMed,0.05,386,386
19,0.956,0.9775,0.956,1.0,0,369,0,17,DropEdgeGCN,PubMed,0.05,386,386
20,0.9828,0.9913,0.9828,1.0,0,456,0,8,RGCN,PubMed,0.06,464,464
21,0.9763,0.988,0.9763,1.0,0,453,0,11,GCN,PubMed,0.06,464,464
22,0.7996,0.8886,0.7996,1.0,0,371,0,93,SkipNodeGCN,PubMed,0.06,464,464
23,0.9375,0.9677,0.9375,1.0,0,435,0,29,DropEdgeGCN,PubMed,0.06,464,464
24,0.9815,0.9907,0.9815,1.0,0,531,0,10,RGCN,PubMed,0.07,541,541
25,0.9834,0.9916,0.9834,1.0,0,532,0,9,GCN,PubMed,0.07,541,541
26,0.8688,0.9298,0.8688,1.0,0,470,0,71,SkipNodeGCN,PubMed,0.07,541,541
27,0.9519,0.9754,0.9519,1.0,0,515,0,26,DropEdgeGCN,PubMed,0.07,541,541
28,0.9855,0.9927,0.9855,1.0,0,610,0,9,RGCN,PubMed,0.08,619,619
29,0.9645,0.9819,0.9645,1.0,0,597,0,22,GCN,PubMed,0.08,619,619
30,0.8174,0.8996,0.8174,1.0,0,506,0,113,SkipNodeGCN,PubMed,0.08,619,619
31,0.9515,0.9752,0.9515,1.0,0,589,0,30,DropEdgeGCN,PubMed,0.08,619,619
32,0.9842,0.992,0.9842,1.0,0,685,0,11,RGCN,PubMed,0.09,696,696
33,0.9555,0.9772,0.9555,1.0,0,665,0,31,GCN,PubMed,0.09,696,696
34,0.7399,0.8505,0.7399,1.0,0,515,0,181,SkipNodeGCN,PubMed,0.09,696,696
35,0.9526,0.9757,0.9526,1.0,0,663,0,33,DropEdgeGCN,PubMed,0.09,696,696
36,0.9897,0.9948,0.9897,1.0,0,765,0,8,RGCN,PubMed,0.1,773,773
37,0.9392,0.9686,0.9392,1.0,0,726,0,47,GCN,PubMed,0.1,773,773
38,0.8409,0.9136,0.8409,1.0,0,650,0,123,SkipNodeGCN,PubMed,0.1,773,773
39,0.9353,0.9666,0.9353,1.0,0,723,0,50,DropEdgeGCN,PubMed,0.1,773,773
40,0.9824,0.9911,0.9824,1.0,0,836,0,15,RGCN,PubMed,0.11,851,851
41,0.933,0.9653,0.933,1.0,0,794,0,57,GCN,PubMed,0.11,851,851
42,0.8625,0.9262,0.8625,1.0,0,734,0,117,SkipNodeGCN,PubMed,0.11,851,851
43,0.9459,0.9722,0.9459,1.0,0,805,0,46,DropEdgeGCN,PubMed,0.11,851,851
44,0.9903,0.9951,0.9903,1.0,0,919,0,9,RGCN,PubMed,0.12,928,928
45,0.9429,0.9706,0.9429,1.0,0,875,0,53,GCN,PubMed,0.12,928,928
46,0.8093,0.8946,0.8093,1.0,0,751,0,177,SkipNodeGCN,PubMed,0.12,928,928
47,0.945,0.9717,0.945,1.0,0,877,0,51,DropEdgeGCN,PubMed,0.12,928,928
48,0.992,0.996,0.992,1.0,0,998,0,8,RGCN,PubMed,0.13,1006,1006
49,0.9592,0.9792,0.9592,1.0,0,965,0,41,GCN,PubMed,0.13,1006,1006
50,0.8807,0.9366,0.8807,1.0,0,886,0,120,SkipNodeGCN,PubMed,0.13,1006,1006
51,0.9324,0.965,0.9324,1.0,0,938,0,68,DropEdgeGCN,PubMed,0.13,1006,1006
52,0.9908,0.9954,0.9908,1.0,0,1073,0,10,RGCN,PubMed,0.14,1083,1083
53,0.9344,0.9661,0.9344,1.0,0,1012,0,71,GCN,PubMed,0.14,1083,1083
54,0.8476,0.9175,0.8476,1.0,0,918,0,165,SkipNodeGCN,PubMed,0.14,1083,1083
55,0.9391,0.9686,0.9391,1.0,0,1017,0,66,DropEdgeGCN,PubMed,0.14,1083,1083
56,0.9931,0.9965,0.9931,1.0,0,1152,0,8,RGCN,PubMed,0.15,1160,1160
57,0.9259,0.9615,0.9259,1.0,0,1074,0,86,GCN,PubMed,0.15,1160,1160
58,0.7853,0.8798,0.7853,1.0,0,911,0,249,SkipNodeGCN,PubMed,0.15,1160,1160
59,0.9509,0.9748,0.9509,1.0,0,1103,0,57,DropEdgeGCN,PubMed,0.15,1160,1160
60,0.9927,0.9964,0.9927,1.0,0,1229,0,9,RGCN,PubMed,0.16,1238,1238
61,0.9507,0.9747,0.9507,1.0,0,1177,0,61,GCN,PubMed,0.16,1238,1238
62,0.8498,0.9188,0.8498,1.0,0,1052,0,186,SkipNodeGCN,PubMed,0.16,1238,1238
63,0.933,0.9653,0.933,1.0,0,1155,0,83,DropEdgeGCN,PubMed,0.16,1238,1238
