,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,0.519,0.6833,0.519,1.0,0,41,0,38,RGCN,dblp,0.01,79,79
1,0.6456,0.7846,0.6456,1.0,0,51,0,28,GCN,dblp,0.01,79,79
2,0.8354,0.9103,0.8354,1.0,0,66,0,13,SkipNodeGCN,dblp,0.01,79,79
3,0.6203,0.7656,0.6203,1.0,0,49,0,30,DropEdgeGCN,dblp,0.01,79,79
4,0.5253,0.6888,0.5253,1.0,0,83,0,75,RGCN,dblp,0.02,158,158
5,0.6582,0.7939,0.6582,1.0,0,104,0,54,GCN,dblp,0.02,158,158
6,0.8734,0.9324,0.8734,1.0,0,138,0,20,SkipNodeGCN,dblp,0.02,158,158
7,0.6203,0.7656,0.6203,1.0,0,98,0,60,DropEdgeGCN,dblp,0.02,158,158
8,0.557,0.7154,0.557,1.0,0,132,0,105,RGCN,dblp,0.03,237,237
9,0.7257,0.8411,0.7257,1.0,0,172,0,65,GCN,dblp,0.03,237,237
10,0.865,0.9276,0.865,1.0,0,205,0,32,SkipNodeGCN,dblp,0.03,237,237
11,0.6751,0.806,0.6751,1.0,0,160,0,77,DropEdgeGCN,dblp,0.03,237,237
12,0.6361,0.7776,0.6361,1.0,0,201,0,115,RGCN,dblp,0.04,316,316
13,0.7468,0.8551,0.7468,1.0,0,236,0,80,GCN,dblp,0.04,316,316
14,0.8259,0.9047,0.8259,1.0,0,261,0,55,SkipNodeGCN,dblp,0.04,316,316
15,0.6772,0.8075,0.6772,1.0,0,214,0,102,DropEdgeGCN,dblp,0.04,316,316
16,0.5581,0.7164,0.5581,1.0,0,221,0,175,RGCN,dblp,0.05,396,396
17,0.7273,0.8421,0.7273,1.0,0,288,0,108,GCN,dblp,0.05,396,396
18,0.8662,0.9283,0.8662,1.0,0,343,0,53,SkipNodeGCN,dblp,0.05,396,396
19,0.7828,0.8782,0.7828,1.0,0,310,0,86,DropEdgeGCN,dblp,0.05,396,396
20,0.6295,0.7726,0.6295,1.0,0,299,0,176,RGCN,dblp,0.06,475,475
21,0.7684,0.869,0.7684,1.0,0,365,0,110,GCN,dblp,0.06,475,475
22,0.8063,0.8928,0.8063,1.0,0,383,0,92,SkipNodeGCN,dblp,0.06,475,475
23,0.8147,0.8979,0.8147,1.0,0,387,0,88,DropEdgeGCN,dblp,0.06,475,475
24,0.6264,0.7703,0.6264,1.0,0,347,0,207,RGCN,dblp,0.07,554,554
25,0.7581,0.8624,0.7581,1.0,0,420,0,134,GCN,dblp,0.07,554,554
26,0.8141,0.8975,0.8141,1.0,0,451,0,103,SkipNodeGCN,dblp,0.07,554,554
27,0.7942,0.8853,0.7942,1.0,0,440,0,114,DropEdgeGCN,dblp,0.07,554,554
28,0.6825,0.8113,0.6825,1.0,0,432,0,201,RGCN,dblp,0.08,633,633
29,0.8246,0.9039,0.8246,1.0,0,522,0,111,GCN,dblp,0.08,633,633
30,0.8294,0.9067,0.8294,1.0,0,525,0,108,SkipNodeGCN,dblp,0.08,633,633
31,0.7804,0.8767,0.7804,1.0,0,494,0,139,DropEdgeGCN,dblp,0.08,633,633
32,0.6728,0.8044,0.6728,1.0,0,479,0,233,RGCN,dblp,0.09,712,712
33,0.8104,0.8953,0.8104,1.0,0,577,0,135,GCN,dblp,0.09,712,712
34,0.7725,0.8716,0.7725,1.0,0,550,0,162,SkipNodeGCN,dblp,0.09,712,712
35,0.7781,0.8752,0.7781,1.0,0,554,0,158,DropEdgeGCN,dblp,0.09,712,712
36,0.7197,0.837,0.7197,1.0,0,570,0,222,RGCN,dblp,0.1,792,792
37,0.7424,0.8522,0.7424,1.0,0,588,0,204,GCN,dblp,0.1,792,792
38,0.8371,0.9113,0.8371,1.0,0,663,0,129,SkipNodeGCN,dblp,0.1,792,792
39,0.8258,0.9046,0.8258,1.0,0,654,0,138,DropEdgeGCN,dblp,0.1,792,792
40,0.7233,0.8394,0.7233,1.0,0,630,0,241,RGCN,dblp,0.11,871,871
41,0.8347,0.9099,0.8347,1.0,0,727,0,144,GCN,dblp,0.11,871,871
42,0.8622,0.926,0.8622,1.0,0,751,0,120,SkipNodeGCN,dblp,0.11,871,871
43,0.7922,0.884,0.7922,1.0,0,690,0,181,DropEdgeGCN,dblp,0.11,871,871
44,0.7358,0.8478,0.7358,1.0,0,699,0,251,RGCN,dblp,0.12,950,950
45,0.7768,0.8744,0.7768,1.0,0,738,0,212,GCN,dblp,0.12,950,950
46,0.84,0.913,0.84,1.0,0,798,0,152,SkipNodeGCN,dblp,0.12,950,950
47,0.8221,0.9024,0.8221,1.0,0,781,0,169,DropEdgeGCN,dblp,0.12,950,950
48,0.792,0.8839,0.792,1.0,0,815,0,214,RGCN,dblp,0.13,1029,1029
49,0.8076,0.8935,0.8076,1.0,0,831,0,198,GCN,dblp,0.13,1029,1029
50,0.8358,0.9105,0.8358,1.0,0,860,0,169,SkipNodeGCN,dblp,0.13,1029,1029
51,0.7949,0.8858,0.7949,1.0,0,818,0,211,DropEdgeGCN,dblp,0.13,1029,1029
52,0.7635,0.8659,0.7635,1.0,0,846,0,262,RGCN,dblp,0.14,1108,1108
53,0.8231,0.903,0.8231,1.0,0,912,0,196,GCN,dblp,0.14,1108,1108
54,0.8583,0.9237,0.8583,1.0,0,951,0,157,SkipNodeGCN,dblp,0.14,1108,1108
55,0.7545,0.8601,0.7545,1.0,0,836,0,272,DropEdgeGCN,dblp,0.14,1108,1108
56,0.7837,0.8787,0.7837,1.0,0,931,0,257,RGCN,dblp,0.15,1188,1188
57,0.8106,0.8954,0.8106,1.0,0,963,0,225,GCN,dblp,0.15,1188,1188
