,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,0.3659,0.3568,0.2236,0.8822,584,631,2028,78,GCN,CiteSeer,0.01,6,6
1,0.318,0.3421,0.2118,0.8897,589,467,2192,73,GAT,CiteSeer,0.01,6,6
2,0.5047,0.325,0.2231,0.5982,396,1280,1379,266,GraphSage,CiteSeer,0.01,6,6
3,0.7534,0.2759,0.3326,0.2356,156,2346,313,506,RGCN,CiteSeer,0.01,6,6
4,0.7525,0.4571,0.4061,0.5227,346,2153,506,316,RGAT,CiteSeer,0.01,6,6
5,0.7754,0.419,0.4325,0.4063,269,2306,353,393,RGraphSage,CiteSeer,0.01,6,6
6,0.5556,0.4513,0.2961,0.948,602,1228,1431,33,GCN,CiteSeer,0.05,33,33
7,0.5325,0.4326,0.2823,0.9244,587,1167,1492,48,GAT,CiteSeer,0.05,33,33
8,0.738,0.5545,0.4124,0.8457,537,1894,765,98,GraphSage,CiteSeer,0.05,33,33
9,0.8649,0.6313,0.6661,0.6,381,2468,191,254,RGCN,CiteSeer,0.05,33,33
10,0.8567,0.6369,0.6226,0.652,414,2408,251,221,RGAT,CiteSeer,0.05,33,33
11,0.8485,0.5596,0.6365,0.4992,317,2478,181,318,RGraphSage,CiteSeer,0.05,33,33
12,0.5204,0.4271,0.274,0.9684,583,1114,1545,19,GCN,CiteSeer,0.1,66,66
13,0.559,0.4339,0.2843,0.9153,551,1272,1387,51,GAT,CiteSeer,0.1,66,66
14,0.8448,0.6486,0.5573,0.7757,467,2288,371,135,GraphSage,CiteSeer,0.1,66,66
15,0.8393,0.5788,0.5607,0.598,360,2377,282,242,RGCN,CiteSeer,0.1,66,66
16,0.8519,0.6299,0.5846,0.6827,411,2367,292,191,RGAT,CiteSeer,0.1,66,66
17,0.8424,0.6259,0.557,0.7143,430,2317,342,172,RGraphSage,CiteSeer,0.1,66,66
18,0.5782,0.4397,0.2869,0.9401,534,1332,1327,34,GCN,CiteSeer,0.15,100,100
19,0.6554,0.4804,0.327,0.9049,514,1601,1058,54,GAT,CiteSeer,0.15,100,100
20,0.7732,0.5481,0.4221,0.7817,444,2051,608,124,GraphSage,CiteSeer,0.15,100,100
21,0.8866,0.646,0.7167,0.588,334,2527,132,234,RGCN,CiteSeer,0.15,100,100
22,0.8757,0.651,0.6437,0.6585,374,2452,207,194,RGAT,CiteSeer,0.15,100,100
23,0.8317,0.5617,0.5186,0.6127,348,2336,323,220,RGraphSage,CiteSeer,0.15,100,100
24,0.556,0.4155,0.2665,0.9421,504,1272,1387,31,GCN,CiteSeer,0.2,133,133
