,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,0.343,0.4511,0.301,0.9,729,197,1693,81,SkipNodeGCN,Cora,0.01,8,8
1,0.6922,0.6295,0.4927,0.8716,706,1163,727,104,GCN,Cora,0.01,8,8
2,0.6378,0.5959,0.4478,0.8901,721,1001,889,89,GAT,Cora,0.01,8,8
3,0.6633,0.5511,0.4593,0.6889,558,1233,657,252,GraphSage,Cora,0.01,8,8
4,0.7707,0.6449,0.6024,0.6938,562,1519,371,248,RGCN,Cora,0.01,8,8
5,0.8293,0.7028,0.7355,0.6728,545,1694,196,265,RGAT,Cora,0.01,8,8
6,0.7715,0.6496,0.6015,0.7062,572,1511,379,238,RGraphSage,Cora,0.01,8,8
7,0.7811,0.6632,0.6159,0.7185,582,1527,363,228,DropEdgeGCN,Cora,0.01,8,8
8,0.3193,0.4507,0.2947,0.9576,745,107,1783,33,SkipNodeGCN,Cora,0.05,40,40
9,0.819,0.718,0.6578,0.7905,615,1570,320,163,GCN,Cora,0.05,40,40
10,0.8703,0.7529,0.8473,0.6774,527,1795,95,251,GAT,Cora,0.05,40,40
11,0.8613,0.7601,0.767,0.7532,586,1712,178,192,GraphSage,Cora,0.05,40,40
12,0.8208,0.6643,0.7322,0.608,473,1717,173,305,RGCN,Cora,0.05,40,40
13,0.8317,0.6989,0.7307,0.6697,521,1698,192,257,RGAT,Cora,0.05,40,40
14,0.8302,0.7174,0.697,0.7391,575,1640,250,203,RGraphSage,Cora,0.05,40,40
15,0.8096,0.6845,0.6623,0.7082,551,1609,281,227,DropEdgeGCN,Cora,0.05,40,40
16,0.3906,0.3792,0.2655,0.6635,489,537,1353,248,SkipNodeGCN,Cora,0.1,81,81
17,0.7842,0.6788,0.5827,0.8128,599,1461,429,138,GCN,Cora,0.1,81,81
18,0.8009,0.6584,0.6348,0.6839,504,1600,290,233,GAT,Cora,0.1,81,81
19,0.863,0.7395,0.7922,0.6934,511,1756,134,226,GraphSage,Cora,0.1,81,81
20,0.8211,0.6776,0.6852,0.6703,494,1663,227,243,RGCN,Cora,0.1,81,81
21,0.8512,0.6938,0.8204,0.6011,443,1793,97,294,RGAT,Cora,0.1,81,81
22,0.8211,0.5841,0.8397,0.4478,330,1827,63,407,RGraphSage,Cora,0.1,81,81
23,0.8504,0.7392,0.7234,0.7558,557,1677,213,180,DropEdgeGCN,Cora,0.1,81,81
24,0.3971,0.348,0.2454,0.5977,416,611,1279,280,SkipNodeGCN,Cora,0.15,122,122
25,0.7494,0.6049,0.5254,0.7126,496,1442,448,200,GCN,Cora,0.15,122,122
26,0.7653,0.6204,0.5493,0.7126,496,1483,407,200,GAT,Cora,0.15,122,122
27,0.8445,0.7189,0.7003,0.7385,514,1670,220,182,GraphSage,Cora,0.15,122,122
28,0.8538,0.6829,0.8206,0.5848,407,1801,89,289,RGCN,Cora,0.15,122,122
29,0.8589,0.703,0.8105,0.6207,432,1789,101,264,RGAT,Cora,0.15,122,122
30,0.872,0.7448,0.8037,0.694,483,1772,118,213,RGraphSage,Cora,0.15,122,122
31,0.8426,0.6645,0.7795,0.579,403,1776,114,293,DropEdgeGCN,Cora,0.15,122,122
32,0.2574,0.4094,0.2574,1.0,655,0,1890,0,SkipNodeGCN,Cora,0.2,163,163
33,0.8079,0.6871,0.5914,0.8198,537,1519,371,118,GCN,Cora,0.2,163,163
34,0.8499,0.6874,0.7407,0.6412,420,1743,147,235,GAT,Cora,0.2,163,163
35,0.8715,0.7699,0.7141,0.8351,547,1671,219,108,GraphSage,Cora,0.2,163,163
36,0.8605,0.6844,0.8191,0.5878,385,1805,85,270,RGCN,Cora,0.2,163,163
37,0.8475,0.7209,0.6816,0.7649,501,1656,234,154,RGAT,Cora,0.2,163,163
38,0.8821,0.7462,0.8368,0.6733,441,1804,86,214,RGraphSage,Cora,0.2,163,163
39,0.8582,0.7288,0.7175,0.7405,485,1699,191,170,DropEdgeGCN,Cora,0.2,163,163
40,0.2835,0.3919,0.2474,0.9414,578,132,1758,36,SkipNodeGCN,Cora,0.25,204,204
41,0.8315,0.6837,0.6333,0.7427,456,1626,264,158,GCN,Cora,0.25,204,204
42,0.8059,0.6577,0.5794,0.7606,467,1551,339,147,GAT,Cora,0.25,204,204
43,0.8211,0.6461,0.6273,0.6661,409,1647,243,205,GraphSage,Cora,0.25,204,204
44,0.885,0.7456,0.8147,0.6873,422,1794,96,192,RGCN,Cora,0.25,204,204
45,0.8946,0.7613,0.8557,0.6857,421,1819,71,193,RGAT,Cora,0.25,204,204
46,0.8958,0.7887,0.7842,0.7932,487,1756,134,127,RGraphSage,Cora,0.25,204,204
47,0.8514,0.6477,0.7738,0.557,342,1790,100,272,DropEdgeGCN,Cora,0.25,204,204
48,0.3156,0.4562,0.2995,0.9568,775,77,1813,35,SkipNodeGCN,Cora,0.01,8,8
49,0.6619,0.4768,0.4449,0.5136,416,1371,519,394,GCN,Cora,0.01,8,8
50,0.6496,0.4382,0.4222,0.4556,369,1385,505,441,GAT,Cora,0.01,8,8
51,0.6863,0.4122,0.4707,0.3667,297,1556,334,513,GraphSage,Cora,0.01,8,8
52,0.6844,0.3456,0.4573,0.2778,225,1623,267,585,RGCN,Cora,0.01,8,8
53,0.7833,0.6667,0.619,0.7222,585,1530,360,225,RGAT,Cora,0.01,8,8
54,0.7133,0.4565,0.5293,0.4012,325,1601,289,485,RGraphSage,Cora,0.01,8,8
55,0.6511,0.4305,0.4218,0.4395,356,1402,488,454,DropEdgeGCN,Cora,0.01,8,8
56,0.2916,0.4515,0.2916,1.0,778,0,1890,0,SkipNodeGCN,Cora,0.05,40,40
57,0.5915,0.2838,0.2903,0.2776,216,1362,528,562,GCN,Cora,0.05,40,40
58,0.7624,0.6257,0.5786,0.6812,530,1504,386,248,GAT,Cora,0.05,40,40
59,0.8347,0.6557,0.835,0.5398,420,1807,83,358,GraphSage,Cora,0.05,40,40
60,0.8096,0.6768,0.67,0.6838,532,1628,262,246,RGCN,Cora,0.05,40,40
61,0.8336,0.6735,0.7869,0.5887,458,1766,124,320,RGAT,Cora,0.05,40,40
62,0.7894,0.6623,0.6219,0.7082,551,1555,335,227,RGraphSage,Cora,0.05,40,40
63,0.7826,0.632,0.6241,0.6401,498,1590,300,280,DropEdgeGCN,Cora,0.05,40,40
64,0.4237,0.3805,0.2724,0.6309,465,648,1242,272,SkipNodeGCN,Cora,0.1,81,81
65,0.8074,0.7055,0.6177,0.8223,606,1515,375,131,GCN,Cora,0.1,81,81
66,0.8835,0.774,0.8493,0.711,524,1797,93,213,GAT,Cora,0.1,81,81
67,0.7918,0.6177,0.6369,0.5997,442,1638,252,295,GraphSage,Cora,0.1,81,81
68,0.8317,0.6261,0.8315,0.502,370,1815,75,367,RGCN,Cora,0.1,81,81
69,0.8409,0.6476,0.8552,0.521,384,1825,65,353,RGAT,Cora,0.1,81,81
70,0.8592,0.7307,0.7881,0.6811,502,1755,135,235,RGraphSage,Cora,0.1,81,81
71,0.8713,0.7376,0.8621,0.6445,475,1814,76,262,DropEdgeGCN,Cora,0.1,81,81
72,0.3674,0.3817,0.259,0.7256,505,445,1445,191,SkipNodeGCN,Cora,0.15,122,122
73,0.8128,0.6944,0.6194,0.7902,550,1552,338,146,GCN,Cora,0.15,122,122
74,0.8438,0.6958,0.731,0.6638,462,1720,170,234,GAT,Cora,0.15,122,122
75,0.8059,0.6383,0.6402,0.6365,443,1641,249,253,GraphSage,Cora,0.15,122,122
76,0.867,0.718,0.8359,0.6293,438,1804,86,258,RGCN,Cora,0.15,122,122
77,0.8751,0.7401,0.841,0.6609,460,1803,87,236,RGAT,Cora,0.15,122,122
78,0.8534,0.6936,0.793,0.6164,429,1778,112,267,RGraphSage,Cora,0.15,122,122
