,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,0.4946,0.498,0.3321,0.9953,1913,1861,3848,9,GCN,Photo,0.01,19,19
1,0.5402,0.5002,0.3444,0.9136,1756,2366,3343,166,GAT,Photo,0.01,19,19
2,0.62,0.4991,0.3736,0.7518,1445,3286,2423,477,GraphSage,Photo,0.01,19,19
3,0.7306,0.6048,0.4796,0.8184,1573,4002,1707,349,RGCN,Photo,0.01,19,19
4,0.6378,0.5395,0.3968,0.8424,1619,3248,2461,303,RGAT,Photo,0.01,19,19
5,0.8161,0.5999,0.6637,0.5473,1052,5176,533,870,RGraphSage,Photo,0.01,19,19
6,0.5884,0.5344,0.3691,0.9675,1784,2660,3049,60,GCN,Photo,0.05,97,97
7,0.5829,0.528,0.3648,0.9555,1762,2641,3068,82,GAT,Photo,0.05,97,97
8,0.8481,0.7173,0.6575,0.789,1455,4951,758,389,GraphSage,Photo,0.05,97,97
9,0.8072,0.6759,0.5733,0.8232,1518,4579,1130,326,RGCN,Photo,0.05,97,97
10,0.8284,0.6655,0.635,0.699,1289,4968,741,555,RGAT,Photo,0.05,97,97
11,0.8481,0.6892,0.6887,0.6898,1272,5134,575,572,RGraphSage,Photo,0.05,97,97
12,0.6658,0.5805,0.4112,0.9868,1724,3240,2469,23,GCN,Photo,0.1,194,194
13,0.6969,0.602,0.4347,0.9782,1709,3487,2222,38,GAT,Photo,0.1,194,194
14,0.8281,0.6975,0.5933,0.846,1478,4696,1013,269,GraphSage,Photo,0.1,194,194
15,0.8273,0.6458,0.6215,0.672,1174,4994,715,573,RGCN,Photo,0.1,194,194
16,0.824,0.6851,0.5899,0.8168,1427,4717,992,320,RGAT,Photo,0.1,194,194
17,0.7331,0.4682,0.4391,0.5014,876,4590,1119,871,RGraphSage,Photo,0.1,194,194
18,0.5722,0.5107,0.3434,0.9958,1643,2568,3141,7,GCN,Photo,0.15,291,291
19,0.7396,0.6143,0.4599,0.9248,1526,3917,1792,124,GAT,Photo,0.15,291,291
20,0.8187,0.6583,0.5701,0.7788,1285,4740,969,365,GraphSage,Photo,0.15,291,291
21,0.8205,0.6601,0.5735,0.7776,1283,4755,954,367,RGCN,Photo,0.15,291,291
22,0.8861,0.7582,0.7236,0.7964,1314,5207,502,336,RGAT,Photo,0.15,291,291
23,0.7025,0.577,0.4235,0.9048,1493,3677,2032,157,RGraphSage,Photo,0.15,291,291
24,0.6264,0.4977,0.3493,0.8654,1344,3205,2504,209,GCN,Photo,0.2,388,388
25,0.8495,0.7349,0.5895,0.9755,1515,4654,1055,38,GAT,Photo,0.2,388,388
26,0.6522,0.4796,0.3526,0.7495,1164,3572,2137,389,GraphSage,Photo,0.2,388,388
27,0.8642,0.7098,0.6537,0.7766,1206,5070,639,347,RGCN,Photo,0.2,388,388
28,0.8102,0.6395,0.5386,0.7869,1222,4662,1047,331,RGAT,Photo,0.2,388,388
29,0.8432,0.6818,0.6022,0.7856,1220,4903,806,333,RGraphSage,Photo,0.2,388,388
30,0.5717,0.4841,0.3205,0.989,1440,2656,3053,16,GCN,Photo,0.25,485,485
31,0.6389,0.5014,0.3485,0.8935,1301,3277,2432,155,GAT,Photo,0.25,485,485
32,0.7041,0.5455,0.3965,0.8736,1272,3773,1936,184,GraphSage,Photo,0.25,485,485
33,0.8564,0.698,0.6094,0.8166,1189,4947,762,267,RGCN,Photo,0.25,485,485
34,0.8902,0.7572,0.6874,0.8427,1227,5151,558,229,RGAT,Photo,0.25,485,485
35,0.9655,0.9136,0.9309,0.897,1306,5612,97,150,RGraphSage,Photo,0.25,485,485
36,0.3608,0.4325,0.2785,0.9672,1859,894,4815,63,GCN,Photo,0.01,19,19
37,0.4779,0.4898,0.3248,0.9948,1912,1735,3974,10,GAT,Photo,0.01,19,19
38,0.5597,0.125,0.1251,0.1249,240,4031,1678,1682,GraphSage,Photo,0.01,19,19
39,0.6817,0.5462,0.4261,0.7607,1462,3740,1969,460,RGCN,Photo,0.01,19,19
40,0.7779,0.6525,0.5384,0.8278,1591,4345,1364,331,RGAT,Photo,0.01,19,19
41,0.7481,0.0,0.0,0.0,0,5709,0,1922,RGraphSage,Photo,0.01,19,19
42,0.4413,0.4376,0.2901,0.8905,1642,1691,4018,202,GCN,Photo,0.05,97,97
43,0.617,0.5247,0.3764,0.8661,1597,3063,2646,247,GAT,Photo,0.05,97,97
