,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,0.4879,0.6029,0.4322,0.9965,7635,1947,10031,27,GCN,PubMed,0.01,77,77
1,0.6402,0.6661,0.522,0.92,7049,5524,6454,613,GAT,PubMed,0.01,77,77
2,0.5733,0.5963,0.4726,0.8079,6190,5069,6909,1472,GraphSage,PubMed,0.01,77,77
3,0.7009,0.689,0.5797,0.8491,6506,7260,4718,1156,RGCN,PubMed,0.01,77,77
4,0.7281,0.7057,0.6107,0.8358,6404,7895,4083,1258,RGAT,PubMed,0.01,77,77
5,0.7387,0.7042,0.6306,0.7973,6109,8400,3578,1553,RGraphSage,PubMed,0.01,77,77
6,0.4777,0.588,0.42,0.9797,7204,2030,9948,149,GCN,PubMed,0.05,386,386
7,0.6187,0.6317,0.4993,0.8598,6322,5638,6340,1031,GAT,PubMed,0.05,386,386
8,0.5967,0.6092,0.4824,0.8265,6077,5458,6520,1276,GraphSage,PubMed,0.05,386,386
9,0.7884,0.7299,0.7094,0.7517,5527,9714,2264,1826,RGCN,PubMed,0.05,386,386
10,0.8486,0.8158,0.7593,0.8813,6480,9924,2054,873,RGAT,PubMed,0.05,386,386
11,0.8326,0.7837,0.7705,0.7975,5864,10231,1747,1489,RGraphSage,PubMed,0.05,386,386
12,0.5306,0.605,0.4381,0.9777,6811,3241,8737,155,GCN,PubMed,0.1,773,773
13,0.5954,0.6248,0.4741,0.916,6381,4899,7079,585,GAT,PubMed,0.1,773,773
14,0.5637,0.5797,0.4488,0.8181,5699,4980,6998,1267,GraphSage,PubMed,0.1,773,773
15,0.8455,0.7753,0.8334,0.7248,5049,10969,1009,1917,RGCN,PubMed,0.1,773,773
16,0.8579,0.7973,0.8388,0.7597,5292,10961,1017,1674,RGAT,PubMed,0.1,773,773
17,0.8555,0.8021,0.8082,0.796,5545,10662,1316,1421,RGraphSage,PubMed,0.1,773,773
18,0.5264,0.5929,0.4264,0.9728,6400,3369,8609,179,GCN,PubMed,0.15,1160,1160
19,0.5895,0.608,0.4596,0.898,5908,5032,6946,671,GAT,PubMed,0.15,1160,1160
