,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,0.5296,0.4932,0.4733,0.5149,4037,5303,4493,3804,GCN,dblp,0.01,79,79
1,0.6853,0.4969,0.859,0.3496,2741,9346,450,5100,GAT,dblp,0.01,79,79
2,0.8467,0.8383,0.7893,0.8938,7008,7925,1871,833,GraphSage,dblp,0.01,79,79
3,0.8607,0.8258,0.9303,0.7424,5821,9360,436,2020,RGCN,dblp,0.01,79,79
4,0.7894,0.7336,0.8381,0.6522,5114,8808,988,2727,RGAT,dblp,0.01,79,79
5,0.79,0.7098,0.9207,0.5775,4528,9406,390,3313,RGraphSage,dblp,0.01,79,79
6,0.8225,0.8226,0.7267,0.9476,7130,7115,2681,394,GCN,dblp,0.05,396,396
7,0.856,0.8387,0.8168,0.8619,6485,8341,1455,1039,GAT,dblp,0.05,396,396
8,0.8477,0.8277,0.8137,0.8422,6337,8345,1451,1187,GraphSage,dblp,0.05,396,396
9,0.8927,0.8669,0.9398,0.8045,6053,9408,388,1471,RGCN,dblp,0.05,396,396
10,0.8747,0.8489,0.8914,0.8103,6097,9053,743,1427,RGAT,dblp,0.05,396,396
11,0.8516,0.8322,0.8179,0.847,6373,8377,1419,1151,RGraphSage,dblp,0.05,396,396
12,0.8316,0.8272,0.7284,0.9569,6821,7253,2543,307,GCN,dblp,0.1,792,792
13,0.8857,0.8641,0.8657,0.8625,6148,8842,954,980,GAT,dblp,0.1,792,792
14,0.848,0.8252,0.8001,0.8519,6072,8279,1517,1056,GraphSage,dblp,0.1,792,792
15,0.8864,0.853,0.9372,0.7827,5579,9422,374,1549,RGCN,dblp,0.1,792,792
16,0.8841,0.8497,0.9356,0.7783,5548,9414,382,1580,RGAT,dblp,0.1,792,792
17,0.8704,0.8264,0.9476,0.7327,5223,9507,289,1905,RGraphSage,dblp,0.1,792,792
18,0.8316,0.8176,0.7316,0.9266,6238,7507,2289,494,GCN,dblp,0.15,1188,1188
19,0.8888,0.8618,0.8726,0.8513,5731,8959,837,1001,GAT,dblp,0.15,1188,1188
20,0.8481,0.8189,0.796,0.8431,5676,8341,1455,1056,GraphSage,dblp,0.15,1188,1188
21,0.8737,0.8466,0.8375,0.8559,5762,8678,1118,970,RGCN,dblp,0.15,1188,1188
22,0.8951,0.8658,0.9036,0.8311,5595,9199,597,1137,RGAT,dblp,0.15,1188,1188
23,0.885,0.8516,0.8972,0.8105,5456,9171,625,1276,RGraphSage,dblp,0.15,1188,1188
24,0.8805,0.8538,0.8218,0.8884,5629,8575,1221,707,GCN,dblp,0.2,1584,1584
25,0.8627,0.834,0.7941,0.878,5563,8354,1442,773,GAT,dblp,0.2,1584,1584
26,0.8538,0.8195,0.7953,0.8452,5355,8418,1378,981,GraphSage,dblp,0.2,1584,1584
27,0.8993,0.864,0.9201,0.8144,5160,9348,448,1176,RGCN,dblp,0.2,1584,1584
28,0.8954,0.855,0.9385,0.7852,4975,9470,326,1361,RGAT,dblp,0.2,1584,1584
29,0.8983,0.8641,0.9088,0.8237,5219,9272,524,1117,RGraphSage,dblp,0.2,1584,1584
30,0.8439,0.8104,0.748,0.8842,5252,8027,1769,688,GCN,dblp,0.25,1980,1980
31,0.8404,0.7931,0.7767,0.8103,4813,8412,1384,1127,GAT,dblp,0.25,1980,1980
32,0.8521,0.816,0.769,0.8692,5163,8245,1551,777,GraphSage,dblp,0.25,1980,1980
33,0.8859,0.8421,0.8817,0.8059,4787,9154,642,1153,RGCN,dblp,0.25,1980,1980
34,0.8995,0.8609,0.9019,0.8234,4891,9264,532,1049,RGAT,dblp,0.25,1980,1980
35,0.8981,0.8571,0.9106,0.8096,4809,9324,472,1131,RGraphSage,dblp,0.25,1980,1980
36,0.5666,0.298,0.5325,0.2069,1622,8372,1424,6219,GCN,dblp,0.01,79,79
37,0.8904,0.8688,0.9286,0.8162,6400,9304,492,1441,GAT,dblp,0.01,79,79
38,0.8545,0.8421,0.8134,0.8728,6844,8226,1570,997,GraphSage,dblp,0.01,79,79
39,0.8623,0.8269,0.9373,0.7397,5800,9408,388,2041,RGCN,dblp,0.01,79,79
40,0.8596,0.8422,0.8414,0.843,6610,8550,1246,1231,RGAT,dblp,0.01,79,79
41,0.8677,0.8357,0.9332,0.7567,5933,9371,425,1908,RGraphSage,dblp,0.01,79,79
42,0.8501,0.8398,0.784,0.904,6802,7922,1874,722,GCN,dblp,0.05,396,396
43,0.8762,0.8581,0.8546,0.8616,6483,8693,1103,1041,GAT,dblp,0.05,396,396
44,0.8467,0.8269,0.8114,0.8429,6342,8322,1474,1182,GraphSage,dblp,0.05,396,396
45,0.8855,0.8587,0.9247,0.8016,6031,9305,491,1493,RGCN,dblp,0.05,396,396
46,0.8882,0.8613,0.934,0.799,6012,9371,425,1512,RGAT,dblp,0.05,396,396
47,0.8633,0.8394,0.857,0.8226,6189,8763,1033,1335,RGraphSage,dblp,0.05,396,396
48,0.81,0.8073,0.7048,0.9447,6734,6975,2821,394,GCN,dblp,0.1,792,792
49,0.8649,0.8419,0.8301,0.8541,6088,8550,1246,1040,GAT,dblp,0.1,792,792
50,0.8624,0.8417,0.8164,0.8685,6191,8404,1392,937,GraphSage,dblp,0.1,792,792
51,0.8854,0.8572,0.9022,0.8165,5820,9165,631,1308,RGCN,dblp,0.1,792,792
52,0.8957,0.8677,0.9312,0.8123,5790,9368,428,1338,RGAT,dblp,0.1,792,792
53,0.8542,0.8247,0.8353,0.8143,5804,8652,1144,1324,RGraphSage,dblp,0.1,792,792
54,0.861,0.8378,0.7986,0.881,5931,8300,1496,801,GCN,dblp,0.15,1188,1188
55,0.8449,0.8167,0.7874,0.8483,5711,8254,1542,1021,GAT,dblp,0.15,1188,1188
56,0.8526,0.8234,0.8043,0.8433,5677,8415,1381,1055,GraphSage,dblp,0.15,1188,1188
57,0.8818,0.8515,0.872,0.8318,5600,8974,822,1132,RGCN,dblp,0.15,1188,1188
58,0.8947,0.8666,0.8953,0.8397,5653,9135,661,1079,RGAT,dblp,0.15,1188,1188
59,0.8748,0.8383,0.884,0.7971,5366,9092,704,1366,RGraphSage,dblp,0.15,1188,1188
