,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,0.8333,0.9091,0.8333,1.0,0,5,0,1,MCLS,CiteSeer,0.01,6,6
1,0.8333,0.9091,0.8333,1.0,0,5,0,1,CCRNE,CiteSeer,0.01,6,6
2,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.01,0,6
3,0.0,0.0,0.0,0.0,0,0,0,6,PU_LP,CiteSeer,0.01,6,6
4,1.0,1.0,1.0,1.0,,,,,LP_PUL,CiteSeer,0.01,6,6
5,0.7692,0.8696,0.7692,1.0,0,10,0,3,MCLS,CiteSeer,0.02,13,13
6,0.6923,0.8182,0.6923,1.0,0,9,0,4,CCRNE,CiteSeer,0.02,13,13
7,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.02,0,13
8,0.0,0.0,0.0,0.0,0,0,0,13,PU_LP,CiteSeer,0.02,13,13
9,1.0,1.0,1.0,1.0,,,,,LP_PUL,CiteSeer,0.02,13,13
10,0.95,0.9744,0.95,1.0,0,19,0,1,MCLS,CiteSeer,0.03,20,20
11,0.8,0.8889,0.8,1.0,0,16,0,4,CCRNE,CiteSeer,0.03,20,20
12,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.03,0,20
13,0.0,0.0,0.0,0.0,0,0,0,20,PU_LP,CiteSeer,0.03,20,20
14,1.0,1.0,1.0,1.0,,,,,LP_PUL,CiteSeer,0.03,20,20
15,0.8846,0.9388,0.8846,1.0,0,23,0,3,MCLS,CiteSeer,0.04,26,26
16,0.8462,0.9167,0.8462,1.0,0,22,0,4,CCRNE,CiteSeer,0.04,26,26
17,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.04,0,26
18,0.0769,0.1429,0.0769,1.0,0,2,0,24,PU_LP,CiteSeer,0.04,26,26
19,1.0,1.0,1.0,1.0,,,,,LP_PUL,CiteSeer,0.04,26,26
20,0.8,0.8889,0.8,1.0,0,8,0,2,MCLS,CiteSeer,0.05,10,33
21,0.7879,0.8814,0.7879,1.0,0,26,0,7,CCRNE,CiteSeer,0.05,33,33
22,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.05,0,33
23,0.0303,0.0588,0.0303,1.0,0,1,0,32,PU_LP,CiteSeer,0.05,33,33
24,1.0,1.0,1.0,1.0,,,,,LP_PUL,CiteSeer,0.05,33,33
25,0.95,0.9744,0.95,1.0,0,38,0,2,MCLS,CiteSeer,0.06,40,40
26,0.85,0.9189,0.85,1.0,0,34,0,6,CCRNE,CiteSeer,0.06,40,40
27,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.06,0,40
28,0.05,0.0952,0.05,1.0,0,2,0,38,PU_LP,CiteSeer,0.06,40,40
29,1.0,1.0,1.0,1.0,,,,,LP_PUL,CiteSeer,0.06,40,40
30,0.8913,0.9425,0.8913,1.0,0,41,0,5,MCLS,CiteSeer,0.07,46,46
31,0.8261,0.9048,0.8261,1.0,0,38,0,8,CCRNE,CiteSeer,0.07,46,46
32,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.07,0,46
33,0.0435,0.0833,0.0435,1.0,0,2,0,44,PU_LP,CiteSeer,0.07,46,46
34,1.0,1.0,1.0,1.0,,,,,LP_PUL,CiteSeer,0.07,46,46
35,0.9245,0.9608,0.9245,1.0,0,49,0,4,MCLS,CiteSeer,0.08,53,53
36,0.9057,0.9505,0.9057,1.0,0,48,0,5,CCRNE,CiteSeer,0.08,53,53
37,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.08,0,53
38,0.0377,0.0727,0.0377,1.0,0,2,0,51,PU_LP,CiteSeer,0.08,53,53
39,0.9811,0.9905,0.9811,1.0,0,52,0,1,LP_PUL,CiteSeer,0.08,53,53
40,0.9167,0.9565,0.9167,1.0,0,55,0,5,MCLS,CiteSeer,0.09,60,60
41,0.9,0.9474,0.9,1.0,0,54,0,6,CCRNE,CiteSeer,0.09,60,60
42,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.09,0,60
43,0.05,0.0952,0.05,1.0,0,3,0,57,PU_LP,CiteSeer,0.09,60,60
44,1.0,1.0,1.0,1.0,,,,,LP_PUL,CiteSeer,0.09,60,60
45,0.8939,0.944,0.8939,1.0,0,59,0,7,MCLS,CiteSeer,0.1,66,66
46,0.8939,0.944,0.8939,1.0,0,59,0,7,CCRNE,CiteSeer,0.1,66,66
47,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.1,0,66
48,0.0455,0.087,0.0455,1.0,0,3,0,63,PU_LP,CiteSeer,0.1,66,66
49,0.9697,0.9846,0.9697,1.0,0,64,0,2,LP_PUL,CiteSeer,0.1,66,66
50,0.8493,0.9185,0.8493,1.0,0,62,0,11,MCLS,CiteSeer,0.11,73,73
51,0.863,0.9265,0.863,1.0,0,63,0,10,CCRNE,CiteSeer,0.11,73,73
52,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.11,0,73
53,0.0411,0.0789,0.0411,1.0,0,3,0,70,PU_LP,CiteSeer,0.11,73,73
54,0.9726,0.9861,0.9726,1.0,0,71,0,2,LP_PUL,CiteSeer,0.11,73,73
55,0.9125,0.9542,0.9125,1.0,0,73,0,7,MCLS,CiteSeer,0.12,80,80
56,0.7875,0.8811,0.7875,1.0,0,63,0,17,CCRNE,CiteSeer,0.12,80,80
57,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.12,0,80
58,0.15,0.2609,0.15,1.0,0,12,0,68,PU_LP,CiteSeer,0.12,80,80
59,0.975,0.9873,0.975,1.0,0,78,0,2,LP_PUL,CiteSeer,0.12,80,80
60,0.8837,0.9383,0.8837,1.0,0,76,0,10,MCLS,CiteSeer,0.13,86,86
61,0.7791,0.8758,0.7791,1.0,0,67,0,19,CCRNE,CiteSeer,0.13,86,86
62,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.13,0,86
63,0.0698,0.1304,0.0698,1.0,0,6,0,80,PU_LP,CiteSeer,0.13,86,86
64,0.9884,0.9942,0.9884,1.0,0,85,0,1,LP_PUL,CiteSeer,0.13,86,86
65,0.8817,0.9371,0.8817,1.0,0,82,0,11,MCLS,CiteSeer,0.14,93,93
66,0.7849,0.8795,0.7849,1.0,0,73,0,20,CCRNE,CiteSeer,0.14,93,93
67,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.14,0,93
68,0.1613,0.2778,0.1613,1.0,0,15,0,78,PU_LP,CiteSeer,0.14,93,93
69,0.9892,0.9946,0.9892,1.0,0,92,0,1,LP_PUL,CiteSeer,0.14,93,93
70,0.92,0.9583,0.92,1.0,0,92,0,8,MCLS,CiteSeer,0.15,100,100
71,0.81,0.895,0.81,1.0,0,81,0,19,CCRNE,CiteSeer,0.15,100,100
72,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.15,0,100
73,0.42,0.5915,0.42,1.0,0,42,0,58,PU_LP,CiteSeer,0.15,100,100
74,0.99,0.995,0.99,1.0,0,99,0,1,LP_PUL,CiteSeer,0.15,100,100
75,0.8585,0.9239,0.8585,1.0,0,91,0,15,MCLS,CiteSeer,0.16,106,106
76,0.8113,0.8958,0.8113,1.0,0,86,0,20,CCRNE,CiteSeer,0.16,106,106
77,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.16,0,106
78,0.1226,0.2185,0.1226,1.0,0,13,0,93,PU_LP,CiteSeer,0.16,106,106
79,0.9906,0.9953,0.9906,1.0,0,105,0,1,LP_PUL,CiteSeer,0.16,106,106
80,0.8673,0.9289,0.8673,1.0,0,98,0,15,MCLS,CiteSeer,0.17,113,113
81,0.8142,0.8976,0.8142,1.0,0,92,0,21,CCRNE,CiteSeer,0.17,113,113
82,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.17,0,113
83,0.177,0.3008,0.177,1.0,0,20,0,93,PU_LP,CiteSeer,0.17,113,113
84,0.9646,0.982,0.9646,1.0,0,109,0,4,LP_PUL,CiteSeer,0.17,113,113
85,0.8,0.8889,0.8,1.0,0,8,0,2,MCLS,CiteSeer,0.18,10,120
86,0.8083,0.894,0.8083,1.0,0,97,0,23,CCRNE,CiteSeer,0.18,120,120
87,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.18,0,120
88,0.175,0.2979,0.175,1.0,0,21,0,99,PU_LP,CiteSeer,0.18,120,120
