,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,0.75,0.8571,0.75,1.0,0,6,0,2,MCLS,Cora,0.01,8,8
1,0.625,0.7692,0.625,1.0,0,5,0,3,CCRNE,Cora,0.01,8,8
2,0.75,0.8571,0.75,1.0,0,6,0,2,RCSVM,Cora,0.01,8,8
3,1.0,1.0,1.0,1.0,,,,,PU_LP,Cora,0.01,8,8
4,0.5,0.6667,0.5,1.0,0,4,0,4,LP_PUL,Cora,0.01,8,8
5,0.9375,0.9677,0.9375,1.0,0,15,0,1,MCLS,Cora,0.02,16,16
6,0.6875,0.8148,0.6875,1.0,0,11,0,5,CCRNE,Cora,0.02,16,16
7,0.4375,0.6087,0.4375,1.0,0,7,0,9,RCSVM,Cora,0.02,16,16
8,1.0,1.0,1.0,1.0,,,,,PU_LP,Cora,0.02,16,16
9,0.5,0.6667,0.5,1.0,0,8,0,8,LP_PUL,Cora,0.02,16,16
10,0.7778,0.875,0.7778,1.0,0,7,0,2,MCLS,Cora,0.03,9,24
11,0.875,0.9333,0.875,1.0,0,21,0,3,CCRNE,Cora,0.03,24,24
12,0.4167,0.5882,0.4167,1.0,0,10,0,14,RCSVM,Cora,0.03,24,24
13,1.0,1.0,1.0,1.0,,,,,PU_LP,Cora,0.03,24,24
14,0.625,0.7692,0.625,1.0,0,15,0,9,LP_PUL,Cora,0.03,24,24
15,0.9062,0.9508,0.9062,1.0,0,29,0,3,MCLS,Cora,0.04,32,32
16,0.7188,0.8364,0.7188,1.0,0,23,0,9,CCRNE,Cora,0.04,32,32
17,0.4062,0.5778,0.4062,1.0,0,13,0,19,RCSVM,Cora,0.04,32,32
18,1.0,1.0,1.0,1.0,,,,,PU_LP,Cora,0.04,32,32
19,0.5625,0.72,0.5625,1.0,0,18,0,14,LP_PUL,Cora,0.04,32,32
20,0.6923,0.8182,0.6923,1.0,0,9,0,4,MCLS,Cora,0.05,13,40
21,0.8,0.8889,0.8,1.0,0,32,0,8,CCRNE,Cora,0.05,40,40
22,0.45,0.6207,0.45,1.0,0,18,0,22,RCSVM,Cora,0.05,40,40
23,0.95,0.9744,0.95,1.0,0,38,0,2,PU_LP,Cora,0.05,40,40
24,0.725,0.8406,0.725,1.0,0,29,0,11,LP_PUL,Cora,0.05,40,40
25,0.4444,0.6154,0.4444,1.0,0,4,0,5,MCLS,Cora,0.06,9,49
26,0.8163,0.8989,0.8163,1.0,0,40,0,9,CCRNE,Cora,0.06,49,49
27,0.4694,0.6389,0.4694,1.0,0,23,0,26,RCSVM,Cora,0.06,49,49
28,0.9592,0.9792,0.9592,1.0,0,47,0,2,PU_LP,Cora,0.06,49,49
29,0.7551,0.8605,0.7551,1.0,0,37,0,12,LP_PUL,Cora,0.06,49,49
30,0.5294,0.6923,0.5294,1.0,0,9,0,8,MCLS,Cora,0.07,17,57
31,0.807,0.8932,0.807,1.0,0,46,0,11,CCRNE,Cora,0.07,57,57
32,0.7018,0.8247,0.7018,1.0,0,40,0,17,RCSVM,Cora,0.07,57,57
33,0.9825,0.9912,0.9825,1.0,0,56,0,1,PU_LP,Cora,0.07,57,57
34,0.7544,0.86,0.7544,1.0,0,43,0,14,LP_PUL,Cora,0.07,57,57
35,0.6769,0.8073,0.6769,1.0,0,44,0,21,MCLS,Cora,0.08,65,65
36,0.8,0.8889,0.8,1.0,0,52,0,13,CCRNE,Cora,0.08,65,65
37,0.5538,0.7129,0.5538,1.0,0,36,0,29,RCSVM,Cora,0.08,65,65
38,0.9385,0.9683,0.9385,1.0,0,61,0,4,PU_LP,Cora,0.08,65,65
39,0.8,0.8889,0.8,1.0,0,52,0,13,LP_PUL,Cora,0.08,65,65
40,0.726,0.8413,0.726,1.0,0,53,0,20,MCLS,Cora,0.09,73,73
41,0.7671,0.8682,0.7671,1.0,0,56,0,17,CCRNE,Cora,0.09,73,73
