,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,0.6962,0.8209,0.6962,1.0,0,55,0,24,MCLS,dblp,0.01,79,79
1,0.1013,0.1839,0.1013,1.0,0,8,0,71,CCRNE,dblp,0.01,79,79
2,,0.0,0.0,0.0,,,,,RCSVM,dblp,0.01,0,79
3,0.0506,0.0964,0.0506,1.0,0,4,0,75,PU_LP,dblp,0.01,79,79
4,0.9747,0.9872,0.9747,1.0,0,77,0,2,LP_PUL,dblp,0.01,79,79
5,0.5633,0.7206,0.5633,1.0,0,89,0,69,MCLS,dblp,0.02,158,158
6,0.1266,0.2247,0.1266,1.0,0,20,0,138,CCRNE,dblp,0.02,158,158
7,,0.0,0.0,0.0,,,,,RCSVM,dblp,0.02,0,158
8,0.0316,0.0613,0.0316,1.0,0,5,0,153,PU_LP,dblp,0.02,158,158
9,0.9747,0.9872,0.9747,1.0,0,154,0,4,LP_PUL,dblp,0.02,158,158
10,0.616,0.7624,0.616,1.0,0,146,0,91,MCLS,dblp,0.03,237,237
11,0.1435,0.2509,0.1435,1.0,0,34,0,203,CCRNE,dblp,0.03,237,237
12,,0.0,0.0,0.0,,,,,RCSVM,dblp,0.03,0,237
13,0.1013,0.1839,0.1013,1.0,0,24,0,213,PU_LP,dblp,0.03,237,237
14,0.9705,0.985,0.9705,1.0,0,230,0,7,LP_PUL,dblp,0.03,237,237
15,0.5443,0.7049,0.5443,1.0,0,172,0,144,MCLS,dblp,0.04,316,316
16,0.1899,0.3191,0.1899,1.0,0,60,0,256,CCRNE,dblp,0.04,316,316
17,,0.0,0.0,0.0,,,,,RCSVM,dblp,0.04,0,316
18,0.0665,0.1246,0.0665,1.0,0,21,0,295,PU_LP,dblp,0.04,316,316
19,0.9494,0.974,0.9494,1.0,0,300,0,16,LP_PUL,dblp,0.04,316,316
20,0.6616,0.7964,0.6616,1.0,0,262,0,134,MCLS,dblp,0.05,396,396
21,0.2146,0.3534,0.2146,1.0,0,85,0,311,CCRNE,dblp,0.05,396,396
22,,0.0,0.0,0.0,,,,,RCSVM,dblp,0.05,0,396
23,0.1086,0.1959,0.1086,1.0,0,43,0,353,PU_LP,dblp,0.05,396,396
24,0.9571,0.9781,0.9571,1.0,0,379,0,17,LP_PUL,dblp,0.05,396,396
25,0.6295,0.7726,0.6295,1.0,0,299,0,176,MCLS,dblp,0.06,475,475
26,0.2253,0.3677,0.2253,1.0,0,107,0,368,CCRNE,dblp,0.06,475,475
27,,0.0,0.0,0.0,,,,,RCSVM,dblp,0.06,0,475
28,0.1347,0.2375,0.1347,1.0,0,64,0,411,PU_LP,dblp,0.06,475,475
29,0.9453,0.9719,0.9453,1.0,0,449,0,26,LP_PUL,dblp,0.06,475,475
30,0.6823,0.8112,0.6823,1.0,0,378,0,176,MCLS,dblp,0.07,554,554
31,0.1949,0.3263,0.1949,1.0,0,108,0,446,CCRNE,dblp,0.07,554,554
32,,0.0,0.0,0.0,,,,,RCSVM,dblp,0.07,0,554
33,0.1408,0.2468,0.1408,1.0,0,78,0,476,PU_LP,dblp,0.07,554,554
34,0.9495,0.9741,0.9495,1.0,0,526,0,28,LP_PUL,dblp,0.07,554,554
35,0.654,0.7908,0.654,1.0,0,414,0,219,MCLS,dblp,0.08,633,633
36,0.1959,0.3276,0.1959,1.0,0,124,0,509,CCRNE,dblp,0.08,633,633
37,,0.0,0.0,0.0,,,,,RCSVM,dblp,0.08,0,633
38,0.0979,0.1784,0.0979,1.0,0,62,0,571,PU_LP,dblp,0.08,633,633
39,0.9494,0.9741,0.9494,1.0,0,601,0,32,LP_PUL,dblp,0.08,633,633
40,0.8315,0.908,0.8315,1.0,0,592,0,120,MCLS,dblp,0.09,712,712
41,0.191,0.3208,0.191,1.0,0,136,0,576,CCRNE,dblp,0.09,712,712
42,,0.0,0.0,0.0,,,,,RCSVM,dblp,0.09,0,712
43,0.1601,0.276,0.1601,1.0,0,114,0,598,PU_LP,dblp,0.09,712,712
44,0.9522,0.9755,0.9522,1.0,0,678,0,34,LP_PUL,dblp,0.09,712,712
45,0.5922,0.7439,0.5922,1.0,0,469,0,323,MCLS,dblp,0.1,792,792
46,0.197,0.3291,0.197,1.0,0,156,0,636,CCRNE,dblp,0.1,792,792
47,,0.0,0.0,0.0,,,,,RCSVM,dblp,0.1,0,792
48,0.1212,0.2162,0.1212,1.0,0,96,0,696,PU_LP,dblp,0.1,792,792
49,0.947,0.9728,0.947,1.0,0,750,0,42,LP_PUL,dblp,0.1,792,792
