,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,0.6411,0.497,0.3448,0.8897,589,1540,1119,73,RGCN,CiteSeer,0.01,6,6
1,0.7612,0.5512,0.4407,0.7356,487,2041,618,175,RGraphSage,CiteSeer,0.01,6,6
2,0.8254,0.5904,0.5544,0.6314,418,2323,336,244,RGAT,CiteSeer,0.01,6,6
3,0.726,0.5587,0.4114,0.8701,576,1835,824,86,GCN,CiteSeer,0.01,6,6
4,0.6956,0.546,0.3885,0.9184,608,1702,957,54,GraphSage,CiteSeer,0.01,6,6
5,0.7133,0.5057,0.3853,0.7356,487,1882,777,175,GAT,CiteSeer,0.01,6,6
6,0.8007,0.0,0.0,0.0,0,2659,0,662,SkipNodeGCN,CiteSeer,0.01,6,6
7,0.7922,0.5951,0.4866,0.7659,507,2124,535,155,DropEdgeGCN,CiteSeer,0.01,6,6
8,0.7565,0.5564,0.4288,0.7921,503,1989,670,132,RGCN,CiteSeer,0.05,33,33
9,0.8443,0.6285,0.5818,0.6835,434,2347,312,201,RGraphSage,CiteSeer,0.05,33,33
10,0.8506,0.5638,0.645,0.5008,318,2484,175,317,RGAT,CiteSeer,0.05,33,33
11,0.6175,0.475,0.3229,0.8976,570,1464,1195,65,GCN,CiteSeer,0.05,33,33
12,0.7001,0.5379,0.3826,0.9055,575,1731,928,60,GraphSage,CiteSeer,0.05,33,33
13,0.7283,0.5389,0.4005,0.8236,523,1876,783,112,GAT,CiteSeer,0.05,33,33
14,0.8072,0.0,0.0,0.0,0,2659,0,635,SkipNodeGCN,CiteSeer,0.05,33,33
15,0.8203,0.6332,0.522,0.8047,511,2191,468,124,DropEdgeGCN,CiteSeer,0.05,33,33
16,0.7568,0.5237,0.4102,0.7243,436,2032,627,166,RGCN,CiteSeer,0.1,66,66
17,0.8497,0.5875,0.5956,0.5797,349,2422,237,253,RGraphSage,CiteSeer,0.1,66,66
18,0.8807,0.6183,0.7554,0.5233,315,2557,102,287,RGAT,CiteSeer,0.1,66,66
19,0.8451,0.6476,0.5584,0.7708,464,2292,367,138,GCN,CiteSeer,0.1,66,66
20,0.8231,0.6216,0.5135,0.7874,474,2210,449,128,GraphSage,CiteSeer,0.1,66,66
21,0.8516,0.6372,0.5806,0.706,425,2352,307,177,GAT,CiteSeer,0.1,66,66
22,0.8166,0.0164,0.8333,0.0083,5,2658,1,597,SkipNodeGCN,CiteSeer,0.1,66,66
23,0.8724,0.6844,0.6299,0.7492,451,2394,265,151,DropEdgeGCN,CiteSeer,0.1,66,66
24,0.8606,0.6212,0.5952,0.6496,369,2408,251,199,RGCN,CiteSeer,0.15,100,100
25,0.8863,0.6673,0.6879,0.6479,368,2492,167,200,RGraphSage,CiteSeer,0.15,100,100
26,0.8822,0.6395,0.6934,0.5933,337,2510,149,231,RGAT,CiteSeer,0.15,100,100
27,0.854,0.6534,0.5613,0.7817,444,2312,347,124,GCN,CiteSeer,0.15,100,100
28,0.8385,0.6238,0.5288,0.7606,432,2274,385,136,GraphSage,CiteSeer,0.15,100,100
29,0.855,0.6344,0.5702,0.7148,406,2353,306,162,GAT,CiteSeer,0.15,100,100
30,0.8255,0.0209,0.8571,0.0106,6,2658,1,562,SkipNodeGCN,CiteSeer,0.15,100,100
31,0.8695,0.6495,0.6161,0.6866,390,2416,243,178,DropEdgeGCN,CiteSeer,0.15,100,100
32,0.8723,0.6489,0.6013,0.7047,377,2409,250,158,RGCN,CiteSeer,0.2,133,133
33,0.8738,0.6151,0.6289,0.6019,322,2469,190,213,RGraphSage,CiteSeer,0.2,133,133
34,0.8979,0.6653,0.738,0.6056,324,2544,115,211,RGAT,CiteSeer,0.2,133,133
35,0.7849,0.5814,0.4313,0.8916,477,2030,629,58,GCN,CiteSeer,0.2,133,133
36,0.7999,0.5885,0.4489,0.8542,457,2098,561,78,GraphSage,CiteSeer,0.2,133,133
37,0.814,0.5926,0.468,0.8075,432,2168,491,103,GAT,CiteSeer,0.2,133,133
38,0.8325,0.0,0.0,0.0,0,2659,0,535,SkipNodeGCN,CiteSeer,0.2,133,133
39,0.8516,0.6268,0.5415,0.7439,398,2322,337,137,DropEdgeGCN,CiteSeer,0.2,133,133
40,0.8759,0.6456,0.5901,0.7126,357,2411,248,144,RGCN,CiteSeer,0.25,167,167
41,0.8462,0.5574,0.5126,0.6108,306,2368,291,195,RGraphSage,CiteSeer,0.25,167,167
42,0.8956,0.6707,0.6707,0.6707,336,2494,165,165,RGAT,CiteSeer,0.25,167,167
43,0.8335,0.6098,0.4852,0.8204,411,2223,436,90,GCN,CiteSeer,0.25,167,167
44,0.8589,0.6455,0.5363,0.8104,406,2308,351,95,GraphSage,CiteSeer,0.25,167,167
45,0.8636,0.6357,0.5513,0.7505,376,2353,306,125,GAT,CiteSeer,0.25,167,167
46,0.8415,0.0,0.0,0.0,0,2659,0,501,SkipNodeGCN,CiteSeer,0.25,167,167
47,0.8652,0.634,0.5566,0.7365,369,2365,294,132,DropEdgeGCN,CiteSeer,0.25,167,167
48,0.4938,0.4185,0.2714,0.9139,605,1035,1624,57,RGCN,CiteSeer,0.01,6,6
49,0.4619,0.2962,0.2003,0.568,376,1158,1501,286,RGraphSage,CiteSeer,0.01,6,6
50,0.5444,0.29,0.2103,0.4668,309,1499,1160,353,RGAT,CiteSeer,0.01,6,6
51,0.3568,0.3703,0.23,0.9486,628,557,2102,34,GCN,CiteSeer,0.01,6,6
52,0.4812,0.3597,0.2385,0.7311,484,1114,1545,178,GraphSage,CiteSeer,0.01,6,6
53,0.5757,0.3684,0.262,0.6208,411,1501,1158,251,GAT,CiteSeer,0.01,6,6
54,0.8007,0.0,0.0,0.0,0,2659,0,662,SkipNodeGCN,CiteSeer,0.01,6,6
55,0.7841,0.6114,0.4768,0.852,564,2040,619,98,DropEdgeGCN,CiteSeer,0.01,6,6
56,0.8066,0.5823,0.4989,0.6992,444,2213,446,191,RGCN,CiteSeer,0.05,33,33
57,0.8628,0.6208,0.6643,0.5827,370,2472,187,265,RGraphSage,CiteSeer,0.05,33,33
58,0.8555,0.5665,0.6717,0.4898,311,2507,152,324,RGAT,CiteSeer,0.05,33,33
59,0.8506,0.6742,0.5817,0.8016,509,2293,366,126,GCN,CiteSeer,0.05,33,33
60,0.8682,0.706,0.6195,0.8205,521,2339,320,114,GraphSage,CiteSeer,0.05,33,33
61,0.8752,0.6985,0.6538,0.7496,476,2407,252,159,GAT,CiteSeer,0.05,33,33
62,0.8072,0.0,0.0,0.0,0,2659,0,635,SkipNodeGCN,CiteSeer,0.05,33,33
63,0.8573,0.6628,0.6087,0.7276,462,2362,297,173,DropEdgeGCN,CiteSeer,0.05,33,33
64,0.8583,0.6144,0.6174,0.6113,368,2431,228,234,RGCN,CiteSeer,0.1,66,66
65,0.8445,0.5834,0.5772,0.5897,355,2399,260,247,RGraphSage,CiteSeer,0.1,66,66
66,0.8648,0.6128,0.6499,0.5797,349,2471,188,253,RGAT,CiteSeer,0.1,66,66
67,0.7875,0.5863,0.4576,0.8156,491,2077,582,111,GCN,CiteSeer,0.1,66,66
68,0.7933,0.6144,0.4686,0.892,537,2050,609,65,GraphSage,CiteSeer,0.1,66,66
69,0.8531,0.6439,0.5828,0.7193,433,2349,310,169,GAT,CiteSeer,0.1,66,66
70,0.8169,0.0197,0.8571,0.01,6,2658,1,596,SkipNodeGCN,CiteSeer,0.1,66,66
71,0.8602,0.6672,0.5951,0.7591,457,2348,311,145,DropEdgeGCN,CiteSeer,0.1,66,66
72,0.8494,0.6055,0.5617,0.6567,373,2368,291,195,RGCN,CiteSeer,0.15,100,100
73,0.8534,0.5584,0.5944,0.5264,299,2455,204,269,RGraphSage,CiteSeer,0.15,100,100
74,0.8795,0.6234,0.6925,0.5669,322,2516,143,246,RGAT,CiteSeer,0.15,100,100
75,0.7952,0.5711,0.4522,0.7746,440,2126,533,128,GCN,CiteSeer,0.15,100,100
76,0.8587,0.6719,0.5681,0.8222,467,2304,355,101,GraphSage,CiteSeer,0.15,100,100
77,0.8324,0.6122,0.5163,0.7518,427,2259,400,141,GAT,CiteSeer,0.15,100,100
78,0.824,0.0,0.0,0.0,0,2659,0,568,SkipNodeGCN,CiteSeer,0.15,100,100
79,0.8714,0.6683,0.612,0.7359,418,2394,265,150,DropEdgeGCN,CiteSeer,0.15,100,100
80,0.8782,0.6712,0.6127,0.7421,397,2408,251,138,RGCN,CiteSeer,0.2,133,133
81,0.876,0.6221,0.6355,0.6093,326,2472,187,209,RGraphSage,CiteSeer,0.2,133,133
82,0.8923,0.6581,0.7028,0.6187,331,2519,140,204,RGAT,CiteSeer,0.2,133,133
83,0.8319,0.6263,0.4989,0.8411,450,2207,452,85,GCN,CiteSeer,0.2,133,133
84,0.7802,0.554,0.4196,0.815,436,2056,603,99,GraphSage,CiteSeer,0.2,133,133
85,0.8663,0.6258,0.5891,0.6673,357,2410,249,178,GAT,CiteSeer,0.2,133,133
86,0.8325,0.0,0.0,0.0,0,2659,0,535,SkipNodeGCN,CiteSeer,0.2,133,133
87,0.876,0.677,0.6006,0.7757,415,2383,276,120,DropEdgeGCN,CiteSeer,0.2,133,133
88,0.888,0.6596,0.6364,0.6846,343,2463,196,158,RGCN,CiteSeer,0.25,167,167
89,0.8861,0.6273,0.6516,0.6048,303,2497,162,198,RGraphSage,CiteSeer,0.25,167,167
90,0.9047,0.6794,0.7283,0.6367,319,2540,119,182,RGAT,CiteSeer,0.25,167,167
91,0.8152,0.5944,0.4558,0.8543,428,2148,511,73,GCN,CiteSeer,0.25,167,167
92,0.8396,0.6214,0.4964,0.8303,416,2237,422,85,GraphSage,CiteSeer,0.25,167,167
93,0.8437,0.6067,0.5046,0.7605,381,2285,374,120,GAT,CiteSeer,0.25,167,167
94,0.8415,0.0,0.0,0.0,0,2659,0,501,SkipNodeGCN,CiteSeer,0.25,167,167
95,0.8623,0.639,0.5469,0.7685,385,2340,319,116,DropEdgeGCN,CiteSeer,0.25,167,167
96,0.3342,0.3191,0.2004,0.7825,518,592,2067,144,RGCN,CiteSeer,0.01,6,6
97,0.7666,0.5614,0.4489,0.7492,496,2050,609,166,RGraphSage,CiteSeer,0.01,6,6
98,0.7142,0.5214,0.3914,0.781,517,1855,804,145,RGAT,CiteSeer,0.01,6,6
99,0.4628,0.4185,0.2668,0.9698,642,895,1764,20,GCN,CiteSeer,0.01,6,6
100,0.6227,0.5026,0.3409,0.9562,633,1435,1224,29,GraphSage,CiteSeer,0.01,6,6
101,0.7862,0.5975,0.4782,0.7961,527,2084,575,135,GAT,CiteSeer,0.01,6,6
102,0.8007,0.0,0.0,0.0,0,2659,0,662,SkipNodeGCN,CiteSeer,0.01,6,6
103,0.7793,0.597,0.4693,0.8202,543,2045,614,119,DropEdgeGCN,CiteSeer,0.01,6,6
104,0.7562,0.5296,0.4216,0.7118,452,2039,620,183,RGCN,CiteSeer,0.05,33,33
105,0.8749,0.6561,0.698,0.6189,393,2489,170,242,RGraphSage,CiteSeer,0.05,33,33
106,0.8713,0.6045,0.7414,0.5102,324,2546,113,311,RGAT,CiteSeer,0.05,33,33
107,0.755,0.5799,0.4331,0.8772,557,1930,729,78,GCN,CiteSeer,0.05,33,33
108,0.6955,0.5189,0.3731,0.852,541,1750,909,94,GraphSage,CiteSeer,0.05,33,33
109,0.6545,0.4869,0.3411,0.8504,540,1616,1043,95,GAT,CiteSeer,0.05,33,33
110,0.8072,0.0,0.0,0.0,0,2659,0,635,SkipNodeGCN,CiteSeer,0.05,33,33
111,0.8591,0.6865,0.6012,0.8,508,2322,337,127,DropEdgeGCN,CiteSeer,0.05,33,33
112,0.8258,0.6061,0.5202,0.7259,437,2256,403,165,RGCN,CiteSeer,0.1,66,66
113,0.8822,0.6286,0.7523,0.5399,325,2552,107,277,RGraphSage,CiteSeer,0.1,66,66
114,0.862,0.5656,0.6751,0.4867,293,2518,141,309,RGAT,CiteSeer,0.1,66,66
115,0.8424,0.638,0.5538,0.7525,453,2294,365,149,GCN,CiteSeer,0.1,66,66
116,0.8237,0.6312,0.5141,0.8173,492,2194,465,110,GraphSage,CiteSeer,0.1,66,66
117,0.8651,0.6452,0.627,0.6645,400,2421,238,202,GAT,CiteSeer,0.1,66,66
118,0.1846,0.3117,0.1846,1.0,602,0,2659,0,SkipNodeGCN,CiteSeer,0.1,66,66
119,0.8559,0.6599,0.5846,0.7575,456,2335,324,146,DropEdgeGCN,CiteSeer,0.1,66,66
120,0.8785,0.6672,0.6443,0.6919,393,2442,217,175,RGCN,CiteSeer,0.15,100,100
121,0.8726,0.617,0.6554,0.5827,331,2485,174,237,RGraphSage,CiteSeer,0.15,100,100
122,0.8835,0.655,0.6839,0.6285,357,2494,165,211,RGAT,CiteSeer,0.15,100,100
123,0.8578,0.6557,0.5712,0.7694,437,2331,328,131,GCN,CiteSeer,0.15,100,100
