,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,0.2017,0.3331,0.1998,1.0,662,8,2651,0,MCLS,CiteSeer,0.01,6,6
1,0.801,0.003,1.0,0.0015,1,2659,0,661,CCRNE,CiteSeer,0.01,6,6
2,0.7772,0.0931,0.2468,0.0574,38,2543,116,624,PU_LP,CiteSeer,0.01,6,6
3,0.7772,0.0931,0.2468,0.0574,38,2543,116,624,LP_PUL,CiteSeer,0.01,6,6
4,0.8007,0.0,0.0,0.0,0,2659,0,662,RCSVM,CiteSeer,0.01,0,6
5,0.7835,0.0,0.0,0.0,0,2602,57,662,GCN,CiteSeer,0.01,6,6
6,0.7097,0.0974,0.1281,0.0785,52,2305,354,610,GAT,CiteSeer,0.01,6,6
7,0.614,0.1219,0.1115,0.1344,89,1950,709,573,GraphSage,CiteSeer,0.01,6,6
8,0.7516,0.2438,0.31,0.2009,133,2363,296,529,RGCN,CiteSeer,0.01,6,6
9,0.695,0.1824,0.1958,0.1707,113,2195,464,549,RGAT,CiteSeer,0.01,6,6
10,0.7278,0.3534,0.3356,0.3731,247,2170,489,415,RGraphSage,CiteSeer,0.01,6,6
11,0.7308,0.097,0.1463,0.0725,48,2379,280,614,DropEdgeGCN,CiteSeer,0.01,6,6
12,0.5553,0.4328,0.287,0.8803,559,1270,1389,76,MCLS,CiteSeer,0.05,33,33
13,0.8075,0.0031,1.0,0.0016,1,2659,0,634,CCRNE,CiteSeer,0.05,33,33
14,0.7744,0.1228,0.2453,0.0819,52,2499,160,583,PU_LP,CiteSeer,0.05,33,33
15,0.7832,0.1163,0.2717,0.074,47,2533,126,588,LP_PUL,CiteSeer,0.05,33,33
16,0.8072,0.0,0.0,0.0,0,2659,0,635,RCSVM,CiteSeer,0.05,0,33
17,0.6642,0.1037,0.1068,0.1008,64,2124,535,571,GCN,CiteSeer,0.05,33,33
18,0.7237,0.1889,0.2177,0.1669,106,2278,381,529,GAT,CiteSeer,0.05,33,33
19,0.7228,0.1411,0.1752,0.1181,75,2306,353,560,GraphSage,CiteSeer,0.05,33,33
