,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,0.4989,0.5355,0.3709,0.963,780,567,1323,30,RGCN,Cora,0.01,8,8
1,0.6226,0.5094,0.4175,0.6531,529,1152,738,281,GAT,Cora,0.01,8,8
2,0.4767,0.4841,0.3437,0.8185,663,624,1266,147,GCN,Cora,0.01,8,8
3,0.5485,0.4833,0.368,0.7037,570,911,979,240,GraphSage,Cora,0.01,8,8
4,0.4722,0.4302,0.3182,0.6642,538,737,1153,272,RGAT,Cora,0.01,8,8
5,0.5885,0.4791,0.3862,0.6309,511,1078,812,299,RGraphSage,Cora,0.01,8,8
6,0.667,0.2257,0.3732,0.1617,131,1670,220,679,SkipNodeGCN,Cora,0.01,8,8
7,0.6348,0.4907,0.4218,0.5864,475,1239,651,335,DropEdgeGCN,Cora,0.01,8,8
8,0.7004,0.0025,1.0,0.0012,1,1890,0,809,MCLS,Cora,0.01,8,8
9,0.7,0.0,0.0,0.0,0,1890,0,810,CCRNE,Cora,0.01,8,8
10,0.7126,0.0827,0.9722,0.0432,35,1889,1,775,LP_PUL,Cora,0.01,8,8
11,0.7111,0.0736,0.9688,0.0383,31,1889,1,779,PU_LP,Cora,0.01,8,8
12,0.7,0.0,0.0,0.0,0,1890,0,810,RCSVM,Cora,0.01,8,8
13,0.4651,0.4839,0.3367,0.8599,669,572,1318,109,RGCN,Cora,0.05,40,40
14,0.7099,0.6067,0.5017,0.7674,597,1297,593,181,GAT,Cora,0.05,40,40
15,0.6705,0.5887,0.4628,0.8085,629,1160,730,149,GCN,Cora,0.05,40,40
16,0.7219,0.6099,0.516,0.7455,580,1346,544,198,GraphSage,Cora,0.05,40,40
17,0.7234,0.6045,0.5184,0.7249,564,1366,524,214,RGAT,Cora,0.05,40,40
18,0.7534,0.6295,0.5601,0.7185,559,1451,439,219,RGraphSage,Cora,0.05,40,40
19,0.7084,0.0,0.0,0.0,0,1890,0,778,SkipNodeGCN,Cora,0.05,40,40
20,0.8437,0.6886,0.8217,0.5925,461,1790,100,317,DropEdgeGCN,Cora,0.05,40,40
21,0.7103,0.0153,0.8571,0.0077,6,1889,1,772,MCLS,Cora,0.05,40,40
22,0.7091,0.0051,1.0,0.0026,2,1890,0,776,CCRNE,Cora,0.05,40,40
23,0.7309,0.1612,0.8846,0.0887,69,1881,9,709,LP_PUL,Cora,0.05,40,40
24,0.7298,0.1528,0.8904,0.0835,65,1882,8,713,PU_LP,Cora,0.05,40,40
25,0.7088,0.0026,1.0,0.0013,1,1890,0,777,RCSVM,Cora,0.05,40,40
26,0.7244,0.6437,0.505,0.8874,654,1249,641,83,RGCN,Cora,0.1,81,81
27,0.8108,0.6982,0.6319,0.7802,575,1555,335,162,GAT,Cora,0.1,81,81
28,0.8276,0.7131,0.6686,0.7639,563,1611,279,174,GCN,Cora,0.1,81,81
29,0.8104,0.6963,0.6323,0.7748,571,1558,332,166,GraphSage,Cora,0.1,81,81
30,0.7986,0.6823,0.6121,0.7707,568,1530,360,169,RGAT,Cora,0.1,81,81
31,0.8435,0.7407,0.6922,0.7965,587,1629,261,150,RGraphSage,Cora,0.1,81,81
32,0.7195,0.0,0.0,0.0,0,1890,0,737,SkipNodeGCN,Cora,0.1,81,81
33,0.8618,0.7166,0.8438,0.6228,459,1805,85,278,DropEdgeGCN,Cora,0.1,81,81
34,0.7195,0.0,0.0,0.0,0,1890,0,737,MCLS,Cora,0.1,81,81
35,0.7195,0.0,0.0,0.0,0,1890,0,737,CCRNE,Cora,0.1,81,81
36,0.7328,0.0954,0.9487,0.0502,37,1888,2,700,LP_PUL,Cora,0.1,81,81
37,0.7309,0.083,0.9412,0.0434,32,1888,2,705,PU_LP,Cora,0.1,81,81
38,0.7195,0.0,0.0,0.0,0,1890,0,737,RCSVM,Cora,0.1,81,81
39,0.7699,0.6847,0.5424,0.9282,646,1345,545,50,RGCN,Cora,0.15,122,122
40,0.7985,0.6829,0.5924,0.806,561,1504,386,135,GAT,Cora,0.15,122,122
41,0.848,0.7339,0.694,0.7787,542,1651,239,154,GCN,Cora,0.15,122,122
42,0.8461,0.7409,0.6774,0.8175,569,1619,271,127,GraphSage,Cora,0.15,122,122
43,0.8647,0.7596,0.7276,0.7945,553,1683,207,143,RGAT,Cora,0.15,122,122
44,0.8534,0.7395,0.7088,0.773,538,1669,221,158,RGraphSage,Cora,0.15,122,122
45,0.7309,0.0,0.0,0.0,0,1890,0,696,SkipNodeGCN,Cora,0.15,122,122
46,0.8708,0.7415,0.8037,0.6882,479,1773,117,217,DropEdgeGCN,Cora,0.15,122,122
47,0.7363,0.0448,0.8889,0.023,16,1888,2,680,MCLS,Cora,0.15,122,122
48,0.7324,0.0114,1.0,0.0057,4,1890,0,692,CCRNE,Cora,0.15,122,122
49,0.7436,0.098,0.9231,0.0517,36,1887,3,660,LP_PUL,Cora,0.15,122,122
50,0.7413,0.0798,0.9355,0.0417,29,1888,2,667,PU_LP,Cora,0.15,122,122
51,0.7316,0.0057,1.0,0.0029,2,1890,0,694,RCSVM,Cora,0.15,122,122
52,0.7697,0.6737,0.5302,0.9237,605,1354,536,50,RGCN,Cora,0.2,163,163
53,0.7815,0.649,0.5533,0.7847,514,1475,415,141,GAT,Cora,0.2,163,163
54,0.8542,0.7522,0.6686,0.8595,563,1611,279,92,GCN,Cora,0.2,163,163
55,0.8495,0.7219,0.6884,0.7588,497,1665,225,158,GraphSage,Cora,0.2,163,163
56,0.8519,0.7339,0.6824,0.7939,520,1648,242,135,RGAT,Cora,0.2,163,163
57,0.8664,0.7364,0.748,0.7252,475,1730,160,180,RGraphSage,Cora,0.2,163,163
58,0.7426,0.0,0.0,0.0,0,1890,0,655,SkipNodeGCN,Cora,0.2,163,163
59,0.8774,0.7421,0.809,0.6855,449,1784,106,206,DropEdgeGCN,Cora,0.2,163,163
60,0.7823,0.2934,0.8915,0.1756,115,1876,14,540,MCLS,Cora,0.2,12,163
61,0.7497,0.0563,0.95,0.029,19,1889,1,636,CCRNE,Cora,0.2,163,163
62,0.7823,0.2842,0.9244,0.1679,110,1881,9,545,LP_PUL,Cora,0.2,163,163
63,0.778,0.2556,0.9327,0.1481,97,1883,7,558,PU_LP,Cora,0.2,163,163
64,0.7426,0.0,0.0,0.0,0,1890,0,655,RCSVM,Cora,0.2,163,163
65,0.7891,0.6819,0.5411,0.9218,566,1410,480,48,RGCN,Cora,0.25,204,204
66,0.8638,0.7457,0.6878,0.8143,500,1663,227,114,GAT,Cora,0.25,204,204
67,0.8718,0.7581,0.7055,0.8192,503,1680,210,111,GCN,Cora,0.25,204,204
68,0.8514,0.7199,0.6695,0.7785,478,1654,236,136,GraphSage,Cora,0.25,204,204
69,0.853,0.7282,0.6662,0.8029,493,1643,247,121,RGAT,Cora,0.25,204,204
70,0.8427,0.6974,0.6599,0.7394,454,1656,234,160,RGraphSage,Cora,0.25,204,204
71,0.7548,0.0,0.0,0.0,0,1890,0,614,SkipNodeGCN,Cora,0.25,204,204
72,0.8774,0.7191,0.8205,0.6401,393,1804,86,221,DropEdgeGCN,Cora,0.25,204,204
73,0.8043,0.3653,0.8924,0.2296,141,1873,17,473,MCLS,Cora,0.25,69,204
